"DRQ_CPE","CPE_DRQ","NBR_CLB","OII_CRK","PTEN_INT","CRK_OII","CRK_HLX","HLX_CRK","HLX_OIS","DRQ_OII","NBR_SM","SM_NBR","CPE_PTEN","SM_BOOM","CPE_NBR","NBR_REX","RES_NBR","DRQ_SM","NBR_HP","HP_NBR","CLB_NBR","CRK_REX","SM_REX","DRQ_REX","INT_HLX","HLX_INT","OII_HLX","BOOM_DRQ","OIS_CLB","HP_CRK","PTEN_CRK","NBR_CPE","HP_OIS","OII_BOOM","OIS_PTEN","BOOM_OII","HLX_BOOM","PTEN_CPE","OIS_SM","BOOM_HP","HP_BOOM","NBR_RES","DRQ_CLB","SM_OIS","SM_OII","NBR_BOOM","HLX_RES","RES_HLX","HLX_PTEN","PTEN_NBR","RES_CPE","CPE_RES","RES_PTEN","PTEN_RES","BOOM_CPE","PTEN_HP","REX_CLB","HLX_CPE","CLB_CPE","CRK_INT","HLX_SM","INT_CRK","OII_SM","HP_HLX","HLX_HP","CPE_SM","CPE_CLB","CPE_HP","SM_HLX","DRQ_CRK","REX_DRQ","DRQ_OIS","HLX_DRQ","REX_NBR","OII_NBR","PTEN_SM","RES_CLB","CPE_OIS","NBR_OII","CRK_HP","OIS_OII","OII_OIS","REX_INT","SM_HP","PTEN_OIS"
109.53740099776,106.605099196198,104.505605347008,95.0799111168058,114.771068369269,129.660106377056,101.784784910572,91.3336926645833,103.510573873527,93.4445656565087,109.834691186585,97.4958407310942,94.2301414222249,103.225298564491,98.6392745470747,93.3097077896288,74.9892358240158,90.7580463576923,96.7024654452557,96.7024841600994,101.580055041626,91.9716368901435,90.9224780838215,74.5414473185805,109.426421338769,102.270072995679,103.988630468124,127.440829388304,98.4380827664728,97.6236670256464,102.610856280149,113.4357190043,110.182046964368,99.9674027239459,89.0728934818695,96.2778535413435,95.9402781068354,102.772047519036,96.6428599641891,102.432976517605,102.432972396057,131.558097331745,101.907605176712,98.4484975991701,103.172071016743,105.628639612316,119.094505875366,82.484817024388,88.5855182976112,110.605315870183,75.7900244453631,111.613258505852,73.4069408292016,133.858408453907,95.6257884964564,94.6965661358427,99.0344269347779,122.397594870307,108.922463030421,111.784920213927,110.304152129814,110.934602824133,104.838455429208,102.304421090719,97.571790694645,98.8062138650114,105.734127552637,98.5721263410681,106.384979642714,85.1602059743474,136.909289936592,88.0727781354097,115.391777264864,118.007848385772,94.1552363738386,104.498409358703,81.1892102164924,106.993096171154,105.710875416497,104.435998467201,96.1233071260215,103.0153877672,106.675608037612,114.454700230917,89.0728941646054
113.368327660694,110.333472456796,107.407362244916,95.9613113875798,110.759001244859,137.202340267392,101.92273033383,91.4574844087298,100.193893586842,95.692927422757,107.592098909584,99.7083305066027,96.7896405519767,113.114021728616,103.881652426557,89.9353660952357,70.9850466292011,95.6637679030565,98.001947696374,97.3277040949209,104.400578834182,92.4369993490483,89.6660859912722,77.4971155731465,109.741585586388,101.768739365717,104.733185839975,108.894488245324,103.626850179551,94.2166683852005,99.657087417084,108.853776616213,106.209241289168,112.7600538354,94.8043892931579,84.3615152677908,107.303131882871,99.9441020171907,101.846808648392,110.493751033298,110.493765346992,138.358111775398,106.806021661452,102.030672849651,100.208535191253,113.072535758242,130.738394970831,74.6523822504124,91.3118245330014,109.138144961705,68.7887637654791,101.302718112539,68.5373954857138,142.52175576287,84.7507666452888,94.081204824285,99.7451063573774,122.73918797559,107.509920903467,117.219439872172,112.56234641604,111.498616164275,107.863727817658,106.09277716184,101.18484593613,100.492080143008,104.362942439925,101.869351781894,108.562939339592,88.0493831914532,131.255283455236,88.0258888890367,111.510953879723,122.216437294042,99.0871422044854,105.504274045408,74.6434583354115,103.207975485238,100.333037482847,104.533093005698,98.4313182304475,100.536814615047,105.335259123983,116.12253194175,94.8043856349123
101.248685948236,98.5382719571474,115.764770714662,93.9131056023759,104.523960199345,135.29495573167,96.0523802701418,86.1898774354057,105.104139100359,90.332485200752,110.593921069281,99.5950923346802,92.1101753164685,116.68189228863,101.722651229435,90.936223878611,65.1063176089155,102.856391833718,94.6420889046148,90.6077812498732,101.982137419832,94.2965165707585,86.1216920076001,70.0321788029481,109.790387644538,94.5432335755165,107.159776696942,111.880808541106,106.190431874458,85.6559743482315,95.5241955826167,108.731840219357,107.364894413831,109.832176688112,91.10902098767,81.8662001415037,104.255785974513,96.6823540975013,101.335994658717,109.288120939787,110.260651966361,135.986549393667,108.999612965674,110.354687627705,100.466192473766,117.612582918812,138.671146500531,77.3290536233238,89.7682155110579,111.871999892458,62.967461954102,92.7298948658666,64.8674446399767,144.444454074045,77.8507044479077,91.5144941379627,101.108158287603,116.836889910785,101.795847392965,122.895237041564,113.938408883513,121.776823222403,106.36699033642,102.072099915923,98.6701190535852,94.6013346516836,98.8161376877586,93.5246254097801,105.033239519379,77.8634356862631,151.23466510064,97.1635922922595,118.713473785437,126.879768648248,100.900851153575,108.820252245358,78.285629188245,97.2513310547491,105.874557120249,95.035011367015,99.5781705745641,104.771125942131,102.341969006553,115.728827233266,96.2326213015508
108.536937567334,105.63141804007,106.346325282409,91.4130641475508,106.476143423812,131.693300713572,98.2358531351894,88.149160036974,107.271800679172,96.8460610753886,110.063415769669,99.4220252071145,94.1418760872135,117.595954833523,109.614537072196,97.3554942408605,72.0727022221784,104.411454336707,92.9578868039796,88.9953732281325,90.3831749899851,98.6662292823688,88.0670561593324,74.4822281611423,111.91227790943,96.370471136022,101.897145602407,107.114396876722,101.313214611469,87.5064194954263,89.6919274471818,120.753874323107,107.588114935009,111.368462227889,84.8116339778711,83.8660573737786,115.651696904798,98.8148165148445,113.406080073994,117.503340748811,111.928513019871,154.146574482131,110.447826195376,122.812439713373,104.562153532246,116.869001771934,155.139866391145,87.1313982205298,83.8734369297672,109.950650125634,74.7470288430149,108.117961227851,68.3181536385289,150.975338377714,80.036515134732,85.4802886099675,106.485171161981,123.017011540978,96.7711204070534,127.687685169139,123.253785954595,121.887252738455,110.703595766424,101.946149417167,98.5484103665226,97.3265768885072,93.9385003999985,98.3943162102799,107.054645252573,81.0021607464521,141.138330976127,100.656533064142,118.292635443324,118.647954242078,94.3427073821471,103.122210589951,81.7003112150953,102.022099989818,100.088282963374,97.0880674567062,103.562627233496,109.388708059404,99.4639439462047,118.186894191916,90.7437125876765
99.3626973119429,99.6551607507969,108.638265524003,92.2122919885141,98.8124645333134,132.844699432268,96.8900097246198,86.9415060243212,106.408051970468,90.3361853223308,111.145216267862,100.399205417625,93.0745611805615,131.013876352679,112.130060903434,97.491837949859,71.8042897385316,99.2127323570354,93.8973206470525,89.89476513169,92.3311214020039,91.5328836427922,84.5841333500282,61.8598443872762,115.568397270775,111.770021098511,103.906743492553,120.877000072914,102.61314203128,87.1898201211402,94.2473646065975,118.646281208975,107.770887300925,110.53879509527,88.6268442578174,81.4013598989227,114.375764736559,97.6945503805017,113.623825886152,115.365280514621,123.397547623969,157.396605180633,119.839570270767,123.048234539288,104.613484805605,115.948437501422,157.31146096798,87.4348464781796,86.9000331016721,114.016211986374,77.9110585715246,112.183765751014,70.5398942624012,155.885153168295,83.124464825122,89.5361884122765,106.113655426968,128.81428141995,103.371914049903,112.851228179243,132.797632639813,107.724738560911,112.774827093327,102.638572852407,107.815821116563,100.365825630704,96.7828625189567,106.021417963587,107.80410574386,69.859061897421,168.250335727165,87.3174535872394,110.192189079223,124.340744417926,96.4363415797258,107.935899649361,83.4201525036811,108.13961989643,102.30943172817,96.7368072271094,106.822645643038,110.92343713454,115.648139075818,120.986827882624,94.8257921799318
97.3808508763183,97.6674809628225,97.2543544242117,91.4365677888073,100.108899500752,131.727157411877,101.19462237969,87.832688211861,116.446309600862,92.1932659754112,111.631152364495,100.838179128958,94.2975134716494,145.390767094326,115.278666772699,107.581733877628,66.1905554455075,99.7674907641501,93.8969410506925,89.8944039126631,82.6559715418103,100.652139351699,93.8231779117625,68.9998409387927,117.52704613204,110.600520797045,101.936878219484,116.729974404302,94.170373120726,87.4222064913726,98.6361816001423,121.079676276245,110.511043117426,132.200408173043,85.1231088081365,80.2863633518507,110.732289791248,104.746162396025,123.049576397658,112.659401644273,125.596590955084,166.513633487561,118.373914573798,126.699407129855,106.486735375601,113.260963595,166.162785656913,91.7757379654761,86.3235882212943,113.096788868966,69.7280543784493,124.763904160333,64.0634701019993,152.440388048623,78.8045770481671,88.2239100322966,101.709258916037,125.945453534902,89.7795147877563,115.97222841988,132.254684960719,110.703995833497,111.707149030287,101.748057064973,109.851046583683,104.745401195519,110.008090087476,105.005323343208,107.363339529601,70.7746602928219,150.095806954549,90.4807236404599,110.42545428887,112.216010010791,95.3974591972223,106.834750432145,80.7797899897405,111.712497303577,101.207305975741,96.9946438827613,107.912694314758,116.315136927461,101.742485316911,127.218829346065,91.0769589900837
86.1766326640309,86.4302843363346,98.860001156625,78.2763547624023,93.76540984598,112.768033749849,100.208997086031,86.9772071760981,115.695495388729,99.1799683337348,120.577648733467,102.277807904834,97.2309330473972,162.965641610865,117.161116807885,102.709454875468,69.8829189619713,91.3659763105881,96.7134087250253,92.5908210432725,84.0205971349407,102.642317020002,85.1873082320907,57.5245758256095,100.110119405081,107.942449983942,87.7818782199243,123.452386371211,90.6314384175358,87.5366572451956,100.489699614208,114.926180757431,107.716133209863,101.525729538527,88.1872935587191,86.9803517279955,145.388183552876,108.004656797239,123.342707611606,124.638865969699,112.903569835015,175.80242555634,128.898935455836,138.714457495114,93.3882168333023,129.141416939665,155.703504170104,92.2712542791834,86.3268143811805,110.866590012644,69.9766888973905,133.76307644611,66.3577153355937,157.899615389852,85.3563663502843,89.1288031479779,108.349258157796,121.896141333735,86.7548768921421,98.2392023005948,150.208387335524,93.7765264855703,96.7252825939967,102.546223815808,120.434305060664,100.329008613997,106.30195850744,102.726768999562,124.388538833597,64.0539257847529,177.836364231922,79.7409608376369,100.700418422217,124.487374087513,83.9623881679865,106.304564132261,77.5855316705794,112.104763930409,89.0757945142114,97.121625376525,100.451337563776,96.8002579756365,128.614212188617,131.467786820352,94.3554636661407
87.5384314209627,87.7960914017992,91.8553941952898,72.308013603374,95.6059164688947,104.169802034088,95.6209061189463,82.9949403597201,118.20033307855,91.6320778261477,114.972573395867,97.523413776472,93.7296352420869,180.755826138743,126.019069217527,111.746105043336,66.0208707972465,90.2932182399509,97.6841521938611,93.520177986122,78.0674197712757,106.93670906131,82.2990802226734,54.9014595734242,111.900225577046,120.654954875491,84.7021838289608,132.958390419706,86.5452657170738,93.5969030117096,95.4059337707778,122.519321560553,111.708453555104,101.018798626008,86.3216315537923,86.5460539756904,139.59893282202,100.752504478772,120.857155256368,107.325313350542,119.173351790825,166.086788793892,126.906119953047,135.919142199295,85.3496724296461,112.283604965613,162.584363243715,96.3488896519307,78.2866443975001,111.597041113051,71.220776758189,136.141198289233,63.165173659228,150.302947158124,79.8948805963977,90.6628548640666,101.920538569976,119.952457799715,86.8347832752606,105.376667056726,158.416188405818,100.589761437983,88.3994962451109,94.1929446511128,115.374959912279,103.073565917765,106.399885906785,111.686413743664,131.185446450131,63.9793510307376,169.80530077267,77.3319176032984,104.915820145402,120.99417338557,73.1876313908819,102.078852541717,76.1915580716139,117.262249900312,77.6448584356599,103.845442336899,90.0168090354506,86.7450100663744,127.036500939716,124.101478194576,92.3593121190164
84.5382921215465,90.721058549656,84.9947080165416,73.1939281401776,94.1176709474821,102.072987742143,96.4795560688612,83.740207999316,116.474520551385,96.6556092724109,113.897867546851,96.6118329326061,102.697328338382,170.379289604604,139.911057207659,119.577836647742,70.4763311614736,91.533523497125,91.5895333567769,87.6853304547827,72.2365599003574,113.342170541905,79.9568838504959,53.0170102327578,107.785088125101,118.448301477791,84.8255383759192,124.865805976055,75.8546483376261,90.016814259244,96.4589267148611,127.260560860189,111.342003560031,98.4281683772948,76.6412052420161,88.9239988747017,131.165405824974,102.630391443816,113.323924813831,107.329830952098,119.178298834028,177.295264273291,144.468816543837,127.447061766768,78.4128968137301,119.895229790149,161.748383524653,95.8534807228968,79.8779650619512,109.447539765838,70.6575938062035,144.522462623107,64.5381987024138,153.570096572244,86.4990074907119,88.0744632620331,90.7472109471004,119.814402183081,77.1447087391318,105.173836220946,161.846226035719,97.9709123188539,93.077177701156,91.8267074091645,112.476630582052,104.989239449247,99.2613643045874,108.652132140819,132.211107725008,62.343154449361,165.122482340563,73.6095014163025,98.8634132470677,116.243491702452,76.3905374254875,99.1394984992541,67.3098091149252,118.345116937926,78.230773726379,99.8732789714437,85.1464903307769,85.7759837620777,123.515076033332,115.140775587343,95.0342973286526
80.4716932060636,86.3570461116112,81.6010936017711,79.4514597326751,105.083598120751,95.458499027855,98.4304873177788,88.836352220874,116.834291058722,101.161713965884,112.70761043921,95.6022011080548,95.7802004018297,188.776409001857,133.634727335811,133.023971400483,68.9696956843558,93.1121433583859,89.4542913235949,85.6411266194408,69.3523473797978,112.844728305249,80.7684714228172,54.4735640905619,107.968615077668,126.487823337371,92.5700323381716,131.1171812703,75.297178898108,85.7627088762469,95.9466056311836,139.706524460959,105.186431398445,117.862474157511,77.5788639858414,85.9036463458616,144.341590254326,110.472546780901,115.809680500275,92.2468029214103,102.430193494107,173.505035290592,137.429934687279,130.242645151903,73.1050551791547,117.248401240309,153.673280016247,91.0681067362247,79.0777705789895,111.624772751887,73.0311834895213,139.184025449262,64.7442487061456,161.167061138756,78.5697335718882,84.3237761921556,88.9633159936501,109.825644041515,69.9830053615707,111.563971277334,170.401689213021,105.164704611708,99.6032345403419,87.0822988080225,106.665276817515,98.1063116023186,90.0464834906121,112.0608894535,139.200064112705,64.3401214525256,169.658946913112,76.6770598441092,102.969007677247,118.601113538998,80.9458945880388,100.082199726509,63.2975532873333,116.010469483368,81.3377115698959,95.1533923259329,93.213989694932,93.9031090163649,138.073049175801,111.308254321619,98.1444316638394
