"TDS_SSP","SSP_TDS","SCHL_SHEN","SHEN_CCOI","CCOI_SHEN","SHEN_ATNI","SHEN_TDS","MCS_CCOI","ATNI_MCS","SSP_ATNI","ATNI_SCHL","TDS_SCHL","TDS_ATNI","CCOI_MCS","MCS_ATNI","CCOI_ATNI","SSP_SCHL","TDS_CCOI","CCOI_SCHL","MCS_SHEN","MCS_TDS","TDS_MCS","SSP_SHEN","SHEN_SCHL","SHEN_SSP","MCS_SCHL","SCHL_MCS","ATNI_CCOI","SSP_CCOI","CCOI_SSP","ATNI_TDS","SCHL_TDS","SCHL_ATNI","ATNI_SHEN","MCS_SSP","SCHL_CCOI","SHEN_MCS","SCHL_SSP","ATNI_SSP","TDS_SHEN"
104.498539805116,102.798600865675,82.996803717339,92.5775662545046,93.6945394898406,117.025617697784,89.9275584881797,166.942128502557,92.2532654246948,123.613273008014,80.2907840597395,117.443030557378,82.9041017566036,88.3627842184294,97.0593983458315,78.055626166683,105.774848363299,100.352901457102,110.298642350525,110.775828531413,101.244790494541,89.8059301940374,94.3059645670433,82.9968129919654,95.7376524254836,103.51771185693,93.7435954098455,71.555052798677,72.6471195028242,95.9070932716111,84.1841882561097,104.234245352313,118.838235777501,83.1135667837375,130.259453026532,140.197831805668,104.035623422006,110.384714716679,81.8578398949192,97.5208078060501
103.824137596655,101.79592585576,78.787713985704,101.793431158542,102.648449816351,112.979908790773,87.769053801233,215.483931417145,103.340917030264,118.85898702396,75.6441292017426,120.682932384674,85.5728502939364,90.8669338690959,107.256679333923,66.453707821673,108.19651263423,90.8924574222818,99.6869581555242,137.288676596713,111.186081852008,87.3177543277429,100.242929850057,83.489801760135,92.4381343571025,108.165459993785,93.9525917307587,81.087833749012,81.5645951689555,92.7157962174792,87.704302622844,107.306882537485,126.28247027693,92.7711963181989,127.444771364963,130.897731897122,117.168089991609,112.911961861304,85.0048138107679,89.895824891677
106.14037329033,104.066901855571,80.0876143754303,109.091917225859,95.2213274277061,116.848014473317,92.1089465915667,227.947509973169,101.416847532332,119.694661089487,76.9510293002176,121.901912975805,83.6481025326321,85.7001224551922,113.391546304467,63.8447775683295,107.115318227174,88.6224769181155,94.1167919982195,134.958440642746,116.433752885587,88.2103473809089,106.38866595771,84.8673036470697,94.8157862043443,111.285478637571,94.0152494190136,84.2179898350275,86.6036225470812,88.3560659946356,90.7780907759363,103.872966980047,124.048609859894,89.5101462325168,128.735620042136,123.583630667164,118.996711409697,111.783651399279,84.2703698262674,94.340867883582
107.626996999858,101.145062062354,75.0651049834992,93.6897558139367,81.7774558872322,138.927714350827,92.9068194610851,242.193504290317,91.0403479301972,146.494547027383,70.152033308595,113.262272453224,96.5656580738598,79.9590003192341,103.524333579535,65.2884853136127,115.703599690864,77.0193564678739,76.0399364516988,124.205739715093,109.26306705948,97.0868664789586,101.381233160403,79.5450458481522,89.6746037759104,95.7670592030571,81.3341834366397,80.3660014229853,70.5223006562844,71.9493287092704,76.0263272990994,96.5111650182443,128.827173224523,74.1372126836232,112.338627991802,99.8471192719688,123.700546356645,110.693185548472,66.1871478399,92.0056561312269
109.597177210386,102.996589038937,76.5028003403398,87.463063185208,76.342502714649,152.314093147523,96.0633182334142,264.163467189687,85.8152713213965,152.505896406846,69.1147652702074,113.150253511834,97.6681731068356,72.8797479423377,97.5826951575095,62.9715331063421,120.219134879742,73.4621958481643,72.4784324234894,127.032404178002,114.128220384139,92.8420865173396,105.2289999768,81.068547359208,94.170459200815,99.9367002512327,84.8754447187566,82.7699979992489,68.4949713247635,69.8809706856027,74.9555692288589,96.4157054925959,130.398396674054,71.4529989108608,119.466770326161,95.170541782976,131.632372112988,108.527615373913,66.464861725103,91.625674805822
110.270477173765,103.629339141864,74.0919861005401,94.9575315515634,82.8840483394313,163.00003775052,113.463644558365,249.73857039078,80.0213689012769,159.510299557017,64.8280753912595,112.949945888437,102.746723181736,76.4389269385818,90.9943153492503,70.3686303128364,119.728693767049,77.6791997101527,76.5119289894896,131.225646581764,114.877098650944,92.0908050493128,102.705932903926,79.511429692494,98.3061152561505,102.842489959047,85.3093465179122,73.3435634955525,72.8685545411765,74.3430760405386,70.3837179230077,96.2449812159918,137.843797239572,68.9553482761372,121.020156640003,100.466851098029,138.055923254517,107.652665523469,62.858446977755,93.9722314525322
102.936957225844,96.7374877616459,71.3415236817112,96.3231206930676,84.0760042910851,159.192753715794,114.41926593436,231.083574056336,94.7406063328874,161.189674466455,69.9022294489331,108.477277452853,90.7863159892548,82.1249782629748,100.121440748388,63.2373485312876,117.441605180225,79.0506928159284,74.8291919246656,123.682386219182,108.506879276371,97.1919541627187,96.0595472299325,76.5597976886491,95.3903616389151,96.266169858709,77.4621371782796,80.3673597016949,69.25615527357,70.6575856577969,78.7980541887907,92.4338454341349,120.162408985681,77.1058444895827,106.770135348025,98.2573041326881,130.120044944312,110.72543186213,65.8251345455206,88.0540599429152
107.989524328565,96.8284170124202,83.8666147128437,100.050172375372,81.0668149872529,180.521991846656,129.512865424668,231.742753623478,95.4962387043787,168.921028587385,63.6853580857439,114.908975639421,86.4031599022543,80.8442221239251,96.7487454240642,60.8412959608919,110.771205898885,77.90814568236,73.4666314278656,122.653941305712,110.054793137808,110.888002381648,98.1534565851334,90.4532837562555,107.824210325983,103.611179881066,70.8960456725646,82.168410685868,70.0927247536723,67.7436248920773,75.7467209621819,89.9972041590477,133.448581963951,70.7892524439799,113.58799980048,104.790676464654,146.52284304442,104.11205013938,64.7315848990275,85.8444348348239
107.714790472114,99.6427364086912,82.1426941008273,105.633425406999,79.4575409567387,190.951670367037,131.309418951948,230.427311315151,92.782900387834,175.313106200032,63.672440004383,115.308641499205,84.3160314904526,80.3852822771612,93.9998076102006,64.5869832277875,111.848116709748,77.8622431969021,75.943390117814,120.130630356145,110.428322288269,119.408168168808,100.987904948814,92.8153049787705,114.036743593795,103.511671526444,70.8171222899625,79.9463334140494,70.805307086266,66.7217559019871,73.9170106926937,89.6080928839906,134.107999867016,70.1285808119794,111.693157463592,101.037816438744,149.348164307853,105.124201396618,62.2520398956937,84.4322897042048
110.843005546457,96.7588488774787,80.2085255579815,117.277627700614,69.4069307388415,198.880263473537,134.454157566909,243.364883898793,87.9337348999035,181.112877619447,64.2612217542579,117.678906300941,85.0859012949848,84.8986431800288,89.0870470702955,57.6632312145665,112.726100797868,87.4736557738694,68.6835751123073,112.600306684225,103.732242791921,117.308400143934,100.296983164017,90.6298419334678,120.332538365236,99.2091841202003,73.5768149111359,71.3760612181453,76.6280911280192,60.2867896092983,74.5919184000335,87.7256438776655,132.557407523559,70.893360424364,107.988339449943,111.132391745219,142.683266817212,105.949383622795,62.4129286331795,84.2046221936766
