"SLP_OFIX","BLFS_ZYXI","BLFS_MDRX","NEO_HSTM","MDRX_MD","HSTM_NEO","AORT_RDNT","MLAB_MD","CRVL_USPH","LGND_INVA","INVA_LGND","NEO_MLAB","NUVA_HSKA","CNMD_MMSI","MODV_AORT","ANIP_CNMD","OSUR_MLAB","ANIK_CUTR","BLFS_ANIP","ANIK_OFIX","BLFS_NUVA","NKTR_MDRX","SRDX_RDNT","MLAB_CCRN","BLFS_OFIX","BLFS_CDMO","INVA_RDNT","BLFS_CPSI","BLFS_ANIK","BLFS_ITGR","BLFS_AORT","BLFS_HSTM","CRVL_NUVA","BLFS_CYTK","CRVL_MD","CYTK_AORT","CCRN_AMN","CCRN_OMI","CCRN_OSUR","BLFS_MMSI","BLFS_NKTR","BLFS_SLP","BLFS_LGND","BLFS_CYH","ZYXI_CUTR","CRVL_BLFS","NXGN_HSKA","BLFS_MODV","BLFS_USPH","BLFS_HSKA","CPSI_CYTK","CDMO_SLP","MLAB_CRVL","VCEL_ITGR","HSKA_MODV","VCEL_OFIX","ZYXI_CRVL","CRVL_ZYXI","LGND_MLAB","SLP_NKTR","HSKA_ANGO","CUTR_ANIK","BLFS_NEO","ZYXI_NXGN","NXGN_ZYXI","ZYXI_DVAX","MMSI_USPH","ZYXI_MDRX","HSTM_MD","BLFS_MYGN","SLP_CRVL","NUVA_CORT","CYH_RDNT","CRVL_NXGN","LGND_CNMD","CCRN_DVAX","DVAX_CCRN","AORT_SRDX","BLFS_INVA","CORT_LGND","CORT_SLP","CORT_CRVL","CCRN_CNMD","AMN_DVAX","CDMO_VCEL","OMI_AMN","OMI_CYTK","OMI_MLAB","MLAB_OMI","CCRN_MDRX","CPSI_MD","CPSI_RDNT","NXGN_CDMO","ITGR_MYGN","ITGR_OFIX","OSUR_SRDX","ITGR_CYH","CYTK_OSUR","ITGR_OSUR","SRDX_VCEL","CDMO_OMI"
110.146647312863,128.986552478575,252.072971065524,327.673332829311,99.9487069975033,79.4645199187392,45.9903643277327,127.704887605899,78.6220128996208,115.488517824736,103.383538306222,129.510308312427,137.677200492217,109.88860991424,63.6436239757505,125.003124590675,88.6533643177336,66.2853363947831,72.578291526705,125.214921275972,166.727290875981,110.019807985911,81.3131754602181,141.036547517704,100.154784090788,106.579575462994,115.540147610754,107.758753233146,88.4357755487015,93.268729164202,93.4727431567466,241.064821067826,94.3598618698275,105.110027442373,89.782368951051,78.0436700687782,116.870882976192,94.082985155908,112.646577249775,212.603102464521,99.5036983062415,84.5297124431301,96.248676492037,93.9042895927433,115.790089033889,159.68483008775,113.710317852557,103.975929887802,135.803146142145,91.8923343746142,106.465899862423,103.755067139468,153.639963738772,117.997048049024,90.7296042028546,125.279556295049,61.1020444765709,101.311577603479,90.82503431144,94.1422115400095,142.002065560348,67.3195103184388,93.8962342390413,99.5523894642278,86.9390842565358,73.6661826006165,88.8094078164021,67.3050504095953,86.8770205098039,125.064076356148,114.560989565511,87.4651083754004,113.100201991626,96.777103167774,122.581630904798,93.8967577563783,101.601476625231,77.0091720379624,115.557282796229,149.378856747748,100.96754106041,102.763635689004,82.3424282765997,85.7845474301161,114.63691051609,126.891885220983,102.685895604971,139.041591601786,127.688438053999,97.1487480865439,137.157096617584,96.4544445049291,74.1496445395298,100.024202925338,82.7416951399398,78.4411589284626,93.4027643031737,101.951469762075,145.951471226672,85.1398579193766,95.3423047694022
124.0884103692,222.168050679894,419.210965793272,280.761266664372,97.8293509487835,91.6495743864543,51.7889943421377,133.479179666562,88.0685895018437,119.249855159645,99.9345813288596,118.430482892642,140.605771973167,115.311060783794,59.9049030609315,110.571929272294,115.22323522079,76.0676833505125,127.17687291028,131.325576252374,198.172701374599,115.552403875657,69.3882267697894,141.797248650746,175.684615842241,186.162540654942,88.494144622336,162.277163113753,148.94883601556,206.187805189334,62.9945444939081,180.849778381827,99.6326601638467,180.596630637245,95.0651982562257,83.882000488726,113.825963389578,94.3269870799946,97.65276831955,254.19043283328,161.901023993,71.0142145447196,113.843309304876,205.065742077573,105.140861167141,125.217402554752,122.611554221509,234.642774430893,285.567466861056,156.317601889848,91.3896762484194,82.1544024181644,170.454429956198,122.99692005885,85.5896738376374,118.585114672525,71.4692315167026,118.501118204675,88.3730333100102,111.843205562352,150.42224368257,77.2544799911068,209.473709324978,104.806564058785,79.8970158413382,77.5822243288081,89.3268682563882,73.0917291741882,88.4439758812259,210.862485841575,114.597292130484,76.2757051607035,91.9120852673925,107.785766994963,119.999926092284,92.6673260655747,103.282598008288,74.1789019103842,136.722272758885,133.636973159745,80.9686126581606,92.2932407312299,85.4844310894975,81.6622882856515,113.498596820617,121.046501370039,93.6366379178595,137.496811022648,128.85256962026,98.8812558629114,135.944248070867,75.5365521057361,74.9626106540842,109.822278589284,91.0471402617189,96.0017555589145,96.3024468372979,95.4573906197138,188.478813345402,86.4559720091697,95.0592075650502
150.700808817034,206.88631582076,414.518949246921,270.105943016857,85.9274479100899,92.038493398929,52.7824243807721,147.776705802574,86.2022359495146,124.473856924287,98.6813697691635,123.220039271516,143.616531352004,106.692394252888,70.408910817328,106.959003978215,120.058550004171,69.2236031465447,97.8816463924297,118.569192098863,174.574312764653,116.168163896897,57.867468337107,143.8925522498,178.637336850486,159.173231386782,141.94699712633,252.057885224002,204.517861501634,182.106675076214,77.4931650788637,176.99409936661,97.1518414907555,250.415964129541,95.4351252843462,71.9144235913861,112.486402228524,97.3125429258287,99.7952964570489,331.098985982422,133.299048961798,70.5231855994968,150.546542099337,187.161723345785,109.070738777331,132.307243796716,138.835957625894,268.179781252826,252.810013658758,167.603598624748,93.5772947544449,75.2780103072392,161.656184485735,121.871175231155,82.3302846689397,113.538150862451,79.9717930403995,122.449927552027,86.4280217789129,143.885774710861,152.82294848595,84.0899377344711,255.256456577372,102.111458852891,69.0653105116901,71.5806307503823,95.8514080823063,70.3011621256265,81.3467502790663,292.896653865827,132.157333616944,91.1675709838881,111.300516463256,99.2944451382062,119.048343462691,93.3544961350921,112.811066576868,89.0676345354523,107.773734716364,129.990579637318,107.537431896616,100.022713109309,83.3512827487577,93.0073413454512,99.177634723692,123.297950288643,96.7123655821496,134.066375865835,132.447229179163,105.888444318929,141.488667015159,84.6241875481031,83.5545323243037,114.93094409396,91.8894806105358,96.6454712534994,107.461990818013,95.7556598642294,201.315433196674,85.9911627819707,89.1111515847674
148.706391852958,190.960663426943,402.818883393522,519.050977824986,86.2815323918833,176.866415683683,45.6215132869281,145.971801588483,87.165475427668,125.621880492851,97.538278785197,253.691943496429,142.562469981708,96.2447256752086,70.5763629792967,102.839493190452,136.701648342736,80.8500889798249,104.035005473124,125.044380463663,174.21396079221,116.339542805127,51.9997241601734,141.922171881365,181.486039069413,154.04810462338,152.023196499997,242.027611503689,168.62788872045,197.943744463907,86.9532614464595,171.226793799439,99.423447170293,273.716347267014,87.9692719418574,72.7497388488636,118.1072593897,97.7434625055532,96.9036159261938,330.84119283879,129.823547929312,70.1180628181033,148.702149370776,183.693924738344,112.857274796733,128.023511229376,137.511243014229,259.14506009831,249.027633434395,162.664372401734,89.5920739492524,72.870652023873,170.269971004371,120.04971032143,85.4526705888201,104.769208198298,80.5186790885588,116.648644010232,83.7368301878287,154.06548541935,144.680749078918,89.9907048953196,387.343394594772,117.470278641658,79.4535701469169,70.2885662811415,94.4454056565258,70.841008114781,81.4310904647917,336.664849161971,131.827119506394,90.1045361756292,99.675613594042,84.0153169124992,107.524915035279,102.008355444078,118.955016209115,84.5448430192118,107.651587299899,130.371323679425,99.0137815363944,103.097182403222,78.3100236154589,96.8579772445972,86.3997963328959,123.743926262578,95.807206440147,129.12074771041,136.941412343804,114.265341175213,145.353810826299,88.2389454924638,93.3774344863677,96.1840772876935,98.9322530067712,102.195445955873,102.931983108042,101.587776193105,196.431438631663,94.0162042210063,86.0864307938282
135.344588537867,161.359936872884,392.873411295506,423.712499677878,90.8399411873601,160.934583426823,33.4074761255549,136.232843467096,98.2055147933349,123.158198460916,99.1558708076921,181.716664767817,131.605962233323,103.876450340577,68.2072024398806,98.1730193414874,145.203249133749,90.8820768740251,95.9837956170701,140.63036364856,166.294545992362,116.339372828256,41.60224283723,149.015972336775,178.17781339977,138.21138234024,174.780424710962,263.130027980778,170.201330123901,191.629679897018,105.508142747052,148.097161072296,104.284636161422,312.196245567266,86.0595013425135,73.7859648776867,123.942789370646,98.9219272856779,92.4867176909995,345.487422398954,126.323977379704,62.6512480442461,168.996242566298,181.170514371908,113.123300374956,169.389647008946,139.558721143604,241.802845806558,253.535670471314,137.841716672891,86.5864377556576,73.0191307165584,191.95085323191,132.361421872111,91.0464343386187,117.299747422176,76.546156496775,109.851867520291,79.8581423577686,141.253962518101,165.090794264321,89.8231149131619,273.229761357998,121.486161124891,106.565807775872,70.9214854233508,91.9031509024611,72.3335550102806,75.9292305452317,338.793923687327,137.992281443508,92.4830836682229,88.4272954656681,91.1934369367953,106.396910043902,99.1496596428237,122.098887025883,87.9106010194244,107.523276523049,126.780020577067,100.057053575799,106.502235180289,78.22272937971,101.88011981687,88.0158033899511,115.611761379051,95.1892699857341,123.547928991953,142.059767482602,114.752139288715,155.100568197874,97.3116415927723,100.70974581257,94.8463589618437,100.429701590149,104.231968747268,104.933366708071,98.3994961664124,187.594811502178,85.7494287928253,81.5402547409808
138.55722191822,136.88776093912,401.502515580919,530.054699259681,93.4515123623465,181.928483339034,35.0171938030465,139.491655435021,102.849240228134,125.990363296312,96.6651827897528,177.566749840776,129.216796435886,111.850845149279,71.8594231789798,108.006930756581,145.704530274114,89.4639177018751,97.9012047870917,158.284388191403,156.889878021431,109.079468087603,23.436901460929,141.641411750528,173.26199951912,143.36662660728,286.822245752229,265.407019745758,171.9879979528,177.103086145612,99.6536945950237,130.048043253117,103.061224079865,306.764165376577,84.915795551165,76.9118254437441,122.513863174398,96.9486827916824,89.8292419202733,343.764729104759,120.800123977852,62.8132846818948,233.93302033244,177.297968996342,124.334286856424,165.326968867836,145.836694415099,243.000205279982,260.898423589283,141.445748179325,88.7229920575164,75.2101786746474,189.07502412903,106.247595518334,101.411957181828,99.966631038485,82.3574945867622,83.5582645159813,83.0218185767372,147.205078652305,173.800706233949,90.6237740775303,255.646137089379,129.480057374469,119.887417574133,77.5449444022404,94.6780794382662,80.9597889093736,67.6265357522409,306.322942525659,140.227135134175,98.1300237203672,49.8999795113632,79.2702077561752,116.10244986839,120.394284571834,122.305001743827,90.4174533193967,111.429448386131,125.585560293613,106.058039697908,124.742614607319,87.5486257105623,104.165587392403,79.4559220027182,118.649017285389,96.2302161097302,127.243515011719,137.670449795098,115.20273628229,161.051722986043,95.4618042039737,94.7837731831604,101.443767737275,105.463180423545,102.304735275853,110.865742240834,95.8935320871246,194.983488310779,99.4879610660195,84.1529120281126
119.603029443317,117.9262438197,375.083811392829,418.107453482214,87.8143190990572,169.218105528224,36.1316975046977,151.346625878177,108.169625786968,126.11957210358,98.9607876468955,150.826619491788,131.289262542431,106.338281143479,70.2581702289655,123.064675991919,129.668083404184,106.475098829533,102.658880471999,156.642230293954,163.2311620101,114.377147408634,23.8123119294861,137.483888969094,169.650772668474,129.176103884294,313.664771201746,270.880419585559,169.478357306739,173.748933517164,96.3242593442995,130.656055477799,105.482544182571,294.229276076877,77.763738239885,77.0307657224803,119.123934025593,99.1912639391671,105.869043575542,326.603324433554,118.530535550988,53.0710465903339,232.12532729542,164.38919487544,159.705106066922,149.907258684436,145.039857307077,229.951547759102,249.443087680198,133.966264108781,93.6722896616621,80.0047026406766,193.597484836197,102.536867000667,108.11925487112,96.2278772083607,81.488233008381,80.4877861399858,100.617583182776,126.787363547179,165.580455940576,75.0543846425075,205.37449450243,134.273960951672,146.523925677715,92.79865183388,94.9043420951598,82.1491078249309,68.6408780697975,346.307337596586,130.118315494098,114.786797027585,49.4285383483325,78.7621877357424,125.189651991554,141.806900634147,113.881892055308,84.2839903356525,111.20228534062,121.489841871354,120.883658186335,117.929882216459,95.7418040993029,87.9601523920032,70.5732080039654,124.413400936214,98.0133031742287,132.990280032684,130.630715101689,111.918332225404,158.74125516195,85.9071768974299,98.6645855938923,96.2644766530755,104.948978050162,103.216434833874,104.663873774569,103.72201200276,206.59319936727,111.015640389826,77.5114523772817
135.821315471337,180.654298861859,497.557422798824,410.816929116116,86.5796298687199,166.267455614515,39.0626572096493,179.969023311605,116.4690806749,125.786681053346,88.862203470112,150.385539164711,141.26067329145,99.7455925813066,67.3836660682847,102.606873002529,131.597243507921,89.0607970074402,157.004220334906,149.916163550731,205.059300472606,123.271443339117,18.9557630902238,135.749896531935,225.11494532233,162.768199924078,388.77583564227,360.755654011029,186.608093839642,227.064757536075,116.723091197574,169.956539247749,107.214137825555,410.004007238378,74.0915995950595,66.5751007604467,126.78827640463,107.801054617721,117.890815174222,396.212939576967,164.316916362476,80.0211582033213,351.11546475188,221.027929278455,117.164894121059,191.014731922951,151.248985847754,326.262082401106,335.671663578715,181.970859081122,104.875191719632,65.9290276793001,193.984608051879,102.660170976887,103.110932177841,97.7064721455763,65.8319898580392,107.550032547342,93.286936395552,137.701462893575,166.79220198795,86.0468331829626,263.253904782068,106.022964290058,126.205371795095,78.1440036117585,105.090412696697,68.7197088228369,66.6319783827005,380.30936114062,152.026617385307,125.914358124063,40.3117868327177,79.9878399839281,106.583217222194,158.465661597382,110.975692531874,95.674103665813,151.006721416366,119.087303076654,110.896287388301,104.612368582626,99.3735747112219,85.827974571828,67.4767761223864,121.640493594109,97.6921747046676,137.534213567172,124.794419415354,118.716917132047,160.113863405994,70.9425838502451,97.0155337114568,99.4428083667839,106.56723566303,111.676893248117,108.125461435835,94.1818560683069,201.388316746303,100.447796985361,71.662058293631
140.062111755219,430.328693390784,1015.76989084322,321.31846933003,87.0618831508831,130.04528428855,37.8719365127083,187.678988065194,116.344675703286,129.276023020471,91.3272545988921,128.061998278524,133.432881163473,92.4193027157444,62.6845434338782,101.405319787114,131.436731359526,94.3170599952059,168.250744611427,152.499207770335,351.531263964002,111.301725514957,20.8192468422265,136.261793112347,411.288920930094,299.013266152201,386.674136879717,683.790608525142,413.851053975888,480.843888467939,185.781952221899,263.327670250673,103.140532107106,678.505550579413,70.0957267117464,63.0664961263995,119.072926959605,103.743329495404,117.736816344604,553.569010852251,256.419416380731,172.759253794064,586.930538770682,454.763042288814,112.73871739682,185.146195844197,162.522652755488,432.242173267162,562.376542894692,304.890343823591,118.792824536541,75.2096634039818,184.773383755239,99.0889307218088,125.662653636214,94.6564797489421,66.1166502106118,110.197210904556,98.2945090816758,148.70653200453,200.372872876407,81.9571422767763,327.320797173915,114.163411682707,116.626347268421,106.359961576912,103.614660691139,67.0755156634387,72.4172535870299,749.673090759287,167.533852844368,146.549991465164,40.2456710243958,74.3353714548874,113.418328324338,159.103004649656,109.780679135435,93.9416167406276,324.095113828819,109.185883387918,91.5381789867147,98.2520723175311,101.918702180675,81.5778251971159,60.8273232005275,122.870361856901,94.725341343183,145.580586002884,133.781250812189,112.67245121151,159.3445589756,67.9727570327226,92.794418911149,102.736671441826,111.371700537294,111.061163611461,112.331348695793,91.7965779125874,214.895003397057,98.8037871793154,80.5974355539342
156.851088157339,519.922047752259,1349.06570470457,259.398095888836,86.5307563623565,104.984625359721,42.9124074212495,218.334086433384,102.905253054721,127.88529888003,90.3447758539572,115.894818110842,153.8165600271,95.0331086752125,59.5552151810223,100.301878157658,105.182871347219,89.9180477599099,206.924057560392,140.983378139204,438.972723914292,110.199345349355,19.5369590882913,120.407030782089,643.964038408111,417.611111444398,504.716423534569,932.071227609833,482.862104081771,462.500594299357,238.032608608338,260.341004308724,101.443468455923,595.810094177968,65.8393823822752,66.0348284169407,109.793841589075,96.3399242321596,128.542815534642,542.676635161499,265.501535043381,204.228829189073,944.387773339419,535.040269845886,209.944370176118,161.702394431017,199.263457291958,421.426706797417,834.761859877701,304.407670934179,126.784661461824,88.5917126708315,187.877102642757,95.9564815371851,105.277103253591,91.8627596258801,113.283630887507,122.185401454868,95.1211561876262,167.685683706323,263.566514573829,78.1346050638503,375.474280506261,199.622039977655,112.34767766634,220.111575257339,102.809037252374,94.9026913650166,70.4067350241877,942.291292909785,188.31683291861,93.1799630761609,45.1679096353307,74.351860084192,117.331316896715,151.760187130898,114.195877418095,89.5572293001865,410.233419249214,64.5888158076237,62.2203738004069,55.208498133059,96.4169752875149,78.5752254849178,61.9711544952049,123.131655775809,99.7229542968396,135.105325167049,134.906984642195,103.397269824105,147.918651083428,55.2047142987119,103.924049842594,102.098648752095,112.413721036915,97.1686518402332,115.919769650664,113.1542504029,234.437523573666,104.452412732192,77.2883497838693
