"CWT_SJW","SJW_CWT","MSEX_SJW","AWR_CPK","AWR_UTL","AWR_NWN","UTL_CWT","MSEX_UTL","UTL_NWN","NWN_SJW","SJW_NWN","AWR_AVA","CWT_AVA","CWT_CPK","SJW_AVA","SJW_UTL","SJW_MSEX","UTL_MSEX","UTL_SJW","AVA_AWR","CPK_UTL","AWR_SJW","SJW_AWR","AVA_CWT","AVA_NWN","AVA_UTL","CWT_UTL","AVA_MSEX","MSEX_AVA","MSEX_CWT","CWT_MSEX","MSEX_NWN","SJW_CPK","MSEX_AWR","AWR_MSEX","NWN_CPK","NWN_UTL","CWT_NWN","UTL_AWR","CPK_AWR","NWN_AVA","NWN_AWR","AVA_CPK","CPK_AVA","CPK_CWT","UTL_AVA","MSEX_CPK","CPK_MSEX"
97.5046563560596,104.476424534853,107.594409247625,136.563375065693,103.461322345809,91.6593755183779,112.697428563633,100.632619676873,96.4106589378673,102.336564172753,90.5898796467175,103.158078898753,104.911152642657,109.651113046195,96.8764672380502,95.1166719375664,112.222317755277,111.178761911929,92.9528915027127,119.023645953657,96.3397290748262,124.863825111675,139.606292259389,100.120539456108,100.9182351411,105.875033117818,112.417917323082,120.762744630045,96.831005379337,107.55093651061,117.845089541339,94.1255099428657,107.049167931379,108.610920963155,112.231948363775,102.376540157159,115.750198974698,103.89364201232,107.936282037394,119.446055707947,102.599300432407,102.836787740701,120.640924398618,96.4177672474049,102.310650801732,118.432720518057,114.790349724619,128.878905680238
95.8105740486885,108.269849977047,108.435090684478,135.63924976428,102.418476862971,90.9287016245612,107.901063599305,104.40075728539,96.2052310572659,107.766195551293,95.3962476025128,102.855334832023,101.170725859855,112.3773789572,102.530534190021,99.9432377371273,113.099196355502,115.86969842974,97.6696737261889,118.674449696988,96.007172102733,117.541693446597,138.6924103517,106.097292421337,100.419390201045,105.137698098144,107.633440357927,114.987255189298,98.7368188110057,102.297087634279,111.235314374139,97.0366707425676,110.485081271148,103.111165960976,106.548889602936,102.203952074502,119.349480551918,99.6983526604099,106.848362719814,128.480863426943,102.092174541952,102.017024820372,129.958670508948,96.6841472086631,106.288974271935,117.607932089508,110.928508578451,123.101884901552
96.2434184132582,108.758954036914,107.063548535163,136.787889690794,103.899238747675,91.9556051866105,101.800921617118,109.809510808942,93.3288220309601,114.736034664069,101.566155428462,105.338235822296,99.6164922105766,107.78617616056,105.034552261834,106.074728094614,115.957124087411,119.52611730072,91.6598315092518,119.147594908071,98.5052599742159,122.768699481713,144.859995118412,104.467380462362,101.526381656219,100.74957497288,101.548447161582,115.885470756321,99.5081059403517,101.573056261793,110.447952933146,99.0324337580547,112.661359058018,106.473957292473,110.023765525607,108.441219341024,120.086118070771,96.9162534336273,104.846353881994,136.657456330803,103.217588669161,104.621782412671,131.413445963777,99.4768766072066,107.896526316985,112.699335077388,114.686816749275,127.272672350361
95.0262216435295,113.014590091964,107.715028603003,129.819168320845,99.4865984860112,87.9411088994731,101.589392169842,115.159690011896,96.8580874607681,111.604726103336,98.794248438952,104.674491017454,99.2643576228576,103.290373543519,111.186928917833,112.919153886285,116.662719659534,128.928933473795,92.539393363918,123.083424174465,98.8624670779088,123.579625290966,157.469315014272,112.184493273671,97.9268887632334,100.876087024052,101.337425214301,115.574498055143,99.241080013628,100.997325672716,109.821977562342,102.349883511882,114.994899522944,102.734615265017,106.159733651448,109.442344554705,122.197827736189,93.1715292019839,101.125091118085,130.617578905606,99.5580944518175,98.1352972495848,126.352839006941,95.6461118668586,103.396115001646,112.840861940671,118.871818110214,127.688312732668
95.7469360105911,119.158831019403,104.232824414697,127.32250834503,96.5916610247173,85.9411772175536,101.150162378431,113.763343746087,99.9665736005609,110.901106692454,98.1714011267438,103.11022463357,100.273191152552,103.866607276485,111.377641792769,111.460841371568,112.891261939455,143.656470718512,91.3442914685403,124.853473826342,102.130751043957,121.432523701663,154.733425192171,113.12088470113,97.1348898705902,99.4250092758478,100.899308725144,111.626280384121,95.8508189804423,98.5907622242644,107.205064911394,99.665414599588,114.694438032748,97.7914954762451,101.051877608084,108.970862401079,126.441963832383,93.3812136715368,96.9237778913012,128.105566170453,98.7529132204418,95.9035454116755,125.80029814841,95.227869669056,103.972960008877,111.217670695865,116.787586627718,135.278967550118
95.9424339877975,124.47002332806,105.928661226848,120.121983106066,91.9791684599704,82.3471483262859,102.355286607776,114.605230211746,99.3606786198566,112.468337076359,108.712882092205,100.537329564099,103.890394726016,104.114604677962,120.748921193966,117.257717798393,120.704494626904,144.373045034442,92.0688577544874,127.910574291067,102.517818282743,114.500878597605,145.900882826484,108.987731111087,95.4268029224265,97.1061911414849,102.101416955529,109.85926200472,94.3335379900364,100.577327697648,109.36522281496,99.823618247863,124.489970531089,93.8826573879214,97.0127273553033,110.630839670445,129.648309348689,95.0712732597042,98.9249392834706,120.860771684872,97.0163879755219,93.4876718225165,121.674976189632,92.1050946776668,104.221226300977,108.623777885317,118.735159689537,133.16283773522
96.2028799002055,131.17773356443,110.2723959754,122.672081827528,94.9668054830735,85.6992803164426,107.855477293817,123.594672320912,98.5339170735022,126.62566672701,113.518260562189,107.507859968647,94.9491616948943,111.653449187553,110.536444459153,120.634005433828,126.159307816438,145.282273800557,96.4927248207088,119.363112608265,101.340072221449,112.371127307034,143.187118692602,99.6077953887058,92.8121185357768,93.6887874081584,107.587998496789,105.251199640871,90.3766955905471,105.26895485539,116.87314573412,98.293992652192,128.234075787161,96.2350076668674,99.4434906999843,114.049729380921,137.329098268169,103.098338179107,95.590501774163,123.426545197685,94.3581483652575,99.6108148271327,116.076563835957,87.8671864586479,108.614041930191,104.80106080778,128.502355828232,132.484157314728
93.1766278248698,143.854807554601,106.07483378801,127.045160411735,94.4491642197936,89.430921424944,108.119110908684,128.702126398291,93.940729617796,132.787258136067,117.122053237385,110.36096132651,91.5681099184823,112.698949966578,115.893394887935,130.375035938437,141.73583400103,138.969295561458,88.8837251467548,115.951512885282,105.506250135296,121.053902746619,154.251019958879,96.0608878247215,94.3027719385743,90.7548177235328,116.25535204145,106.21809885673,91.2069483211672,110.094664322794,118.461738894866,97.6805437462596,128.546057021565,99.8648526721214,103.194344060184,115.986861947159,130.927477068512,99.5093951523401,97.5225701357209,127.82652533097,95.8736845479842,89.8685768810056,117.092535042357,88.6362561721736,113.377226453848,101.519119806778,128.514267548367,148.079580676656
92.6219599141592,142.998476546992,102.065099972679,131.866785788141,93.2879211658715,89.0920722105377,116.11346359033,136.559270257231,92.9964554964134,132.983396928517,116.587858190057,108.755776515946,96.7145034677765,106.229885308041,116.408801694573,129.957123709587,135.55624738184,144.950076700859,88.5988624897828,114.29937005681,100.343416003737,117.519743333965,152.82756868992,93.1034845350886,91.698708590454,88.4550492844962,135.251257106569,99.1924933874836,93.4116290965799,108.42913669294,122.877461672293,101.676424530361,130.154527970943,96.6633662325145,103.882261470313,122.172468206892,131.189527326049,98.8449385668951,96.3235753670882,122.434153411046,96.9780031616353,91.0807927301572,119.956109540069,86.1844333247037,107.689247510787,100.878320543128,139.565018836629,137.817092366976
87.9591616894027,135.799684051786,107.341280646475,125.964238849998,91.961584672202,88.3791118921979,122.215946471121,132.884751875282,93.4855247064472,142.843659572122,108.386111892997,111.162938785086,102.309626926528,112.465667736559,106.529812344942,119.977346624165,133.83428685281,143.840790114242,81.7950960674687,116.829195165308,103.439883201041,125.278575312152,143.158217579716,96.4637747698801,93.0791278521972,89.2178127447787,138.820207157638,106.910034315262,93.3363074716303,108.059097487865,118.0224360929,99.6679706454624,125.019502429355,93.6422176770622,113.054022383291,117.664606264733,130.335527993933,99.1234776696584,101.040064936634,127.873394998092,95.4744407735524,91.7337532249589,117.27303771897,88.0039358543292,114.010643564895,103.17215118021,133.706167970072,151.691031102925
