"VECO_AEIS","VIAV_CEVA","UIS_RMBS","PLUS_SCSC","PLUS_LPSN","FARO_SANM","DGII_CSGS","AVID_ADTN","CSGS_DGII","SCSC_LPSN","RAMP_CNXN","TTEC_UIS","EGHT_AEIS","PLUS_CMTL","AGYS_CLFD","AEIS_CEVA","AEIS_EBIX","UIS_EBIX","MEI_EXTR","MEI_FORM","VECO_ACLS","TTEC_AGYS","TTEC_ROG","TTMI_SCSC","OSPN_AEIS","MEI_UIS","BMI_AEIS","TTEC_NTGR","ACLS_PDFS","PLXS_NTGR","PLXS_BHE","PRFT_RAMP","SCSC_ROG","CNXN_PRFT","CMTL_PLAB","SCSC_PDFS","FORM_DIOD","SCSC_NSIT","BMI_VECO","AVID_IDCC","BMI_FORM","EGHT_ADTN","PLXS_SCSC","PRGS_NSIT","NTCT_MEI","NTCT_RAMP","NTCT_EXTR","CSGS_PLAB","UCTT_AEIS","PLAB_CSGS","PLXS_PDFS","PDFS_PLXS","ADEA_RMBS","HLIT_AEIS","HLIT_RAMP","TTMI_FARO","HLIT_FORM","EXTR_NTCT","RMBS_PLXS","ITRI_CSGS","CEVA_CNXN","CTS_PLXS","BMI_ITRI","PLXS_CLFD","PRGS_CTS","CLFD_PLXS","EBIX_NTCT","NTCT_EBIX","PLAB_EXTR","PDFS_ROG","ROG_PDFS","MEI_HLIT","CNXN_DGII","DGII_CNXN","ADTN_UCTT","ADTN_CEVA","ADTN_SMTC","KLIC_RMBS","NTGR_UCTT","RMBS_KLIC","DIOD_CNXN","CNXN_DIOD","HLIT_ROG","BMI_COHU","COHU_BMI","ADTN_PLXS","DGII_TTMI","TTMI_DGII","OSIS_TTMI","AVID_BHE","BHE_AVID","BHE_COHU","CLFD_EXTR","PDFS_BHE","ROG_KLIC","DGII_ACLS","AGYS_ACLS","ACLS_AGYS","VECO_BMI","PRGS_VECO","ITRI_OSIS","PDFS_ACLS","CMTL_NTGR"
130.138270824392,75.2741326581807,87.5013613026518,105.654150838569,144.2007779186,104.833327682551,77.3655694280795,120.710518716675,110.216141271259,89.1111480734151,118.781490523936,120.758766858428,94.6180515105704,102.205142847898,132.912979201838,131.506575290237,90.7987846742032,83.6593950404773,107.384363741657,92.4470324753175,79.5535509571596,112.565997065526,117.14453583427,91.1102154041899,117.214982686194,101.875092787167,139.905502425383,78.373806558347,76.9211291246127,90.9964269435088,81.0763050987344,103.660709105339,116.556895737837,89.2736220333496,83.9158446568241,105.625633096209,112.163516927631,126.009436481124,105.139962653217,91.5621282122743,126.845820517504,115.56056453863,95.5590412241857,100.264648729733,107.258005590579,138.830184430591,162.361056132832,74.9295709898088,122.709464284916,85.3904999001072,88.8582364652423,108.82987002196,77.7547250737088,78.5821091135539,104.021024578086,124.981019499933,101.573385913118,116.02441618566,86.4817566125919,97.0556071553004,99.7262259302291,124.951068794844,139.983401601179,77.8638155051534,97.5863184273019,206.075459610621,82.1773583592292,85.903531933881,93.8870120769715,90.1579157640027,94.4187854878278,109.065766747784,112.94571481432,123.406767286147,86.6439687176694,108.743488243571,99.3761723296601,111.21095125056,95.0011433127522,106.259832235313,87.0211534728275,111.579947534189,109.916203076122,92.226867339369,82.9779198265946,98.8155105193292,107.085019326531,116.463298697525,99.1175981186389,108.063741935476,99.6910361029724,101.189281833251,147.151182428304,90.9047056591549,91.1778194863644,111.305025248619,79.7933273075376,77.78451693961,94.5281280299747,103.86516313788,103.619491586395,76.8032735215482,94.7377852999919
123.444582607528,79.2181499467795,86.5544544148292,103.961761987666,139.806193393365,105.931606857686,89.46890914554,113.821021781544,103.400685262347,81.3595692556843,107.173306478856,119.413431266116,68.4520010529075,88.1606289019905,145.656464615903,141.583218264002,101.736042144008,77.0455875630011,106.72519983919,96.6917281676775,80.2668278091841,111.765113373942,120.331341983769,96.169909034192,117.311274514115,102.176641778658,130.939908893606,79.5463423084687,75.3283158765501,88.2858812479827,82.3377478943637,104.198043114077,122.710460287676,80.9706911615511,96.129370344029,99.4204728514027,96.4647903737619,127.178150309858,103.668459256452,97.592011341101,130.565577520504,135.582008837445,88.9160600933135,100.942506078347,105.952314914634,136.049982222339,169.923653554952,75.6008547181156,124.803896535669,86.1554644911742,87.7981129957198,109.820289516376,76.5302991295604,80.4302532796468,95.852279659926,123.177865867311,93.3301600135427,115.21776931329,90.4917688750688,93.1781978102746,109.565062044203,133.841202099726,140.061374042512,81.0092463327172,97.2129378749001,195.040953419772,76.8138222551514,80.2967753615308,92.9720275811479,89.4627050682504,93.69071908351,113.095011278826,115.499295495015,126.196875477538,89.2558115994869,109.671431165607,94.8819319936329,106.616225597838,107.122268906411,101.869676928971,73.8078771070867,130.539447039696,101.903748668636,99.6549208695873,89.6610563156329,96.1336231238626,95.5689505410543,104.497998725749,101.743873689489,107.372606314331,99.0534433780873,106.522662822984,160.518788783252,93.3169273136793,90.0072062619897,121.812865628123,81.2953142916144,79.2486837378071,95.6677482578974,106.592077624643,110.283425638412,75.212900720838,101.087464735391
126.735518546689,73.3188216547695,99.6423272588859,108.513739325474,162.798900063814,95.7986192835593,104.459307314484,118.502619033408,111.680315759506,83.0061024704409,108.664065468068,129.938399465444,75.423873038396,88.7463128578441,131.440792768761,119.566962803382,87.6938683520705,75.7196141139054,112.418935340505,94.9956624482043,82.642461257275,122.807803441393,134.33258462594,97.3755652973218,111.9383227158,116.450800053951,123.861857721487,84.3761335523399,64.0915435306174,73.2459561189889,73.5715315465066,101.928919299229,129.834923996514,77.1515249864583,89.246193372729,98.7940844557994,94.1267142274852,126.355643619959,117.709442166607,108.45348940134,130.922366225608,171.508181300834,79.2110164149898,97.5366542006345,108.936172625832,148.124179534515,167.113361157399,67.4041007422899,125.45492449594,93.3610763691836,79.1228225590237,125.05633678713,84.9412274291217,84.7777452110657,93.8944942152231,107.299136615543,105.107157137684,132.022891433658,72.2169688717636,101.219488110964,115.88936199014,143.246679138992,133.350640024272,68.7040926024904,97.6002402594324,225.454036174419,82.9798029463963,74.0905165969769,99.9921645212496,93.6121905090691,89.0118969046555,130.499602474734,127.972486170515,139.825507283724,114.282578757417,134.551566837662,98.1207506871576,112.877092018424,102.439682339933,90.5837226566661,69.161714374224,128.107212201227,98.7745601562454,95.808379520481,95.9233036246751,82.3553356153826,94.3036268157731,103.114455260182,97.1693700143483,109.508129800094,90.6320462109813,113.881212778844,158.802081790616,92.5401242832656,94.0502819811604,124.407736064255,86.6388512884179,96.6739659218279,97.8460258137054,96.3226591831646,119.260589510898,82.905765039099,106.143521054608
125.05458731368,74.2359776607272,103.041291838316,111.883857644504,184.211685798952,100.193846358908,105.359033925299,118.399754028392,111.409168270693,92.8013246393345,101.647664611031,125.935555721875,85.0945624235725,88.160388435281,166.598375592652,125.022914060799,91.8900681615343,75.9507256559891,109.14008645186,109.384836381698,89.8884232280523,98.4845878022946,132.781607268843,85.5129360523821,116.134468658819,121.691496225631,115.172065974798,79.6062045825248,58.885127132864,65.0991981210864,66.0041306179713,103.473748052063,133.095873902417,73.2666657036446,89.580286148717,96.9580161102129,83.8423004929806,128.846608626958,122.929221790856,105.380923993672,142.784673813597,176.292440273692,71.9687482253432,96.8903624664223,105.562827373007,150.284534939834,157.4621097063,65.9363768006444,124.933948436357,98.615446852392,70.5751669063084,122.926475445134,88.8748016275514,78.5438194381654,95.4317028258901,95.2600402246125,119.262459103477,136.675965359582,75.675219701871,88.1249041951142,113.258901012096,155.600693343552,145.87037512131,62.0602498928351,98.045192462847,246.25548179862,85.0748929732058,72.1466004958314,106.044735612401,97.7141887007259,85.1535760589707,138.012700426629,127.719292724486,145.460473714149,115.83960068911,137.007390074564,101.522942830481,115.469816019917,100.569742980005,87.0692546278527,66.8996211846833,123.917171142355,110.398121969865,81.4031333202274,99.2415810313092,73.0330580328054,81.6917906874827,89.3242898539263,110.589326907769,108.17418281485,89.5280419905923,100.825641107342,154.724705733063,92.9989202982944,92.3128766777151,138.825850114223,109.483840650966,74.1735539492319,105.997726716028,100.392607077376,102.853423957234,89.3025128721491,108.089414442741
115.685543127136,65.7372034076167,114.301226172361,113.815462493094,170.129405645071,92.0981091865328,111.98154737664,123.44341311265,112.266585871125,84.7476472299046,104.25595408305,134.267459517733,91.6147238833332,84.7909798219969,132.783557648164,131.06886102865,92.3702988008516,75.2056253452785,110.165781014547,98.9368823067497,76.8012471296231,106.625389942632,147.105347114894,81.741900448404,105.30806410881,123.356270329708,110.94955630118,91.3224929157282,67.3726918182328,64.70072285566,65.0362930969041,99.8816594476633,137.630316417924,72.5699935841382,83.611811311943,100.61439361207,84.4257699029196,127.733600274609,127.92628583641,103.809455290823,142.957769698008,188.67777171229,69.2509443101461,95.5684515709122,85.228380085158,128.420569092353,140.411545366928,66.5836456997317,132.875480305452,93.8916698982528,70.5445463252832,128.430817547566,98.5200708537648,76.7551434755612,90.2825392478185,84.7479953019467,142.975766798677,140.914785659635,70.8048033710159,90.1286666860788,110.494576965533,157.84617577028,141.380092007739,73.9471662862306,93.7468240126383,201.368476733997,98.2141739984819,62.0813609364472,105.058788110749,97.086149282823,85.1530608817576,128.536340058726,126.195314395032,143.724772072326,120.624440680771,127.18114655612,100.617145938241,95.1126381837289,97.7960077277168,71.719062074396,65.1822027489949,120.7360223994,115.263733162428,78.9773502965975,96.2842232403134,67.2331049492045,79.378922014273,86.795328865053,110.690111965267,99.6363061993885,82.4618428501785,96.9045698145899,133.149950718254,91.5616889524785,81.1398145884466,121.44019166801,122.151564121447,82.7557437628753,108.553265391237,92.8244581251966,103.38898220456,77.5727320307741,99.0167841753308
120.329265735457,76.5729631111641,120.251871492351,111.05817711407,172.136362943165,82.6548961876886,125.999599032007,134.006256975818,112.462494038129,88.1352910985926,105.320065031339,118.404510810739,83.8657435206981,84.2052614881824,140.308018207026,133.291208906063,89.1449436301848,80.4795164735304,109.99234860619,90.9100219308049,76.0438268558547,97.0744963603681,145.335952208653,78.2713776700988,106.765972039972,123.30015512385,112.119073519655,92.1876269661173,55.8914463709381,65.0970561949039,62.1764381526679,97.3681839052397,143.250466827929,71.5308962357519,84.2190686822173,90.5429406809815,80.8201031730118,118.487967645805,131.73191935916,94.4259514692189,141.450209269255,186.349311983674,65.443061092556,97.8443685824193,78.8489672266057,124.793644388544,129.86370423576,62.4839799621339,127.898906480449,99.8388726383465,60.0175374267351,155.924282926243,98.445972430855,87.5090778642875,97.6315582446851,82.1064396045233,159.324321421965,128.906477520764,74.7141692353725,88.4662856702365,103.722244882685,165.476379677358,147.441517765211,61.8953774990587,88.6808355240129,233.390757420525,98.6453936583674,61.3674611376697,102.194980965277,109.709223081338,72.7246646394547,132.190879415177,140.822261590703,160.383575491807,107.835834771875,115.590880489306,96.0801196980336,90.7955194533344,97.787474859946,68.4637579119452,66.4204737369665,123.029652825578,108.456930661047,72.0426603361113,87.8298713187266,60.8730853266585,77.8041592772078,85.0734353676403,98.7066147600489,90.6514545175543,75.0257307395637,88.8774049208507,136.322612463984,115.206249236509,74.1262844127481,130.452744929881,119.245891593371,80.787193985043,111.435195867481,89.0287228321797,92.3188857485561,92.9454175599351,89.3929951755559
113.535109702795,74.0956388653671,92.6638157934872,111.541331137162,200.932233006287,86.0195517821145,123.776745734574,134.839624683917,113.99049833094,102.846807838089,110.731847881326,125.498093744389,78.0734147987001,88.4309346803447,155.699903492532,125.186119867184,84.5529742623522,76.4435235306066,109.936157941313,92.9256702437377,78.7779978881281,107.335894529206,144.11424531181,79.959424907979,106.03930641462,118.464475474788,112.029828534651,97.3049028974064,54.1902950111385,69.8995294387095,61.4422215490454,86.117679322147,140.934759958528,76.0831905137497,89.2713330191665,85.6978581398266,78.4317752600957,116.292037389851,145.867358668953,89.7152989330877,143.768254405101,164.727883950981,66.6503675696861,93.8615413175024,85.2217320655785,129.932668536679,140.199493382924,63.1396791743394,124.528759689792,96.5830087907338,58.1731201381415,151.132526125295,83.0121033906999,81.5309358857149,98.4148038598751,85.8430895611501,151.457771543951,139.166081458594,88.9012806638693,89.4466018958093,115.400396369865,160.273930851928,149.376231191857,61.5123065848035,82.9537764722888,230.05214761297,99.343126170921,60.677148698976,100.097143740002,119.417206518148,69.9294592734818,151.22094667239,160.52238319595,212.002206514563,110.842265649357,128.784195891799,101.724928303229,107.291303439794,92.4670608025584,80.9022993988184,70.3235412747469,144.1088202233,103.69313880113,72.075040492387,87.8693664890007,64.0374706936856,79.5825534798555,87.0179857061138,106.419309867816,97.121033360044,80.3801396433733,89.6637496901062,143.296788898328,116.125183342676,72.8757579521031,139.42616771488,121.80348105265,82.5199254696883,107.462097424154,81.2392710819423,99.9071041352601,95.1899082841039,89.6073720382717
110.820012658994,82.8302103764428,92.8540669297668,109.695678455557,186.1469205592,91.3096048055848,123.365045557193,131.008216112079,113.846149817902,118.64302154735,106.69876955654,119.133460960926,70.6625827265585,86.8439959713116,183.252668783569,124.358867040215,86.3264108085141,85.4613524676915,119.524468250346,90.8305135195443,76.4231705147898,109.215167482064,139.691073973762,79.7174272997547,109.66705337036,127.763609933961,108.659468461774,91.3530686100736,53.9723490831417,71.8616510363548,65.37787776152,94.1485466867403,140.630867780364,80.3735782845579,93.9016851950308,82.9887554399177,78.5852355632145,119.18158916399,160.398204409876,74.0262138998619,172.445684546459,153.647550737134,70.7960703578641,91.9153769362535,84.1588482742681,125.606500992669,127.108059831043,58.4254122672592,117.580914630385,99.7807447911177,59.9274435740101,155.690221017266,82.2618366585483,83.9479223435821,95.2854236423262,90.6205848581531,140.511847615657,126.171144999624,99.9203622706262,92.0717326762089,118.344547985739,143.007349872603,171.065718833094,64.2519259543296,79.3294853740712,216.198616544704,105.183155140349,56.4183541728676,96.8628967635584,118.945397205164,67.8134371845195,161.735047367601,197.202692102233,223.747446703634,101.773909126223,124.865438104881,103.342016087541,103.904334223042,97.3994319437206,78.3483691387908,64.5144511105855,139.427733092641,104.030833114981,72.409548039138,88.277206279357,64.4389547384204,81.8831625199491,89.533541639072,100.53957256688,89.2151956585333,73.8370475322267,90.3909252051754,164.991815922673,112.317294359725,70.2088582208669,130.156902080997,125.965734393143,90.7079815569267,107.549579989246,81.8403308893085,94.3800249591558,95.1849681673405,91.2485604586221
113.427802520317,80.3202151341679,98.7475701311531,97.6153696643087,181.150537796224,78.4961072244863,123.538663348109,125.962073970785,118.647169948447,128.978940316516,99.7057215431169,135.950686893337,60.5954762223272,80.0821632659696,176.022900667777,122.926091349117,98.6886374075727,89.8066884697447,126.53560858493,81.7856349408803,76.4410570203036,116.372777539666,152.992893944659,84.2737193633925,117.976410120345,136.702204276845,105.678107352535,97.180410346664,53.89988158443,88.4563941928395,68.3390247028345,98.5201059876253,158.09066908312,104.491806292807,93.9264471048216,84.9018981159372,73.2887272662186,119.976904681752,149.284177324758,79.553858345305,164.095514013543,150.986972113068,60.0561483243147,94.1725093484903,112.093159914374,146.792444564641,152.806177053494,55.3425903472082,124.109253780685,93.6383572230997,55.5353808923344,166.845101103922,72.7900736718035,92.3638119261737,102.737413820697,95.1624230412189,149.156829203718,136.139279433669,98.5656261384456,78.2926658454953,109.125842038413,127.166870578344,182.333848993747,81.966548952058,79.0046394906444,281.311633636097,110.987915425787,69.2714521172785,98.3570746879401,113.684031555892,74.4921470434408,147.413381113665,234.747619965666,259.640100439391,102.813002509199,127.28644306695,110.895273772053,115.144579060146,102.513310065375,71.0514545128401,73.4888725516511,157.330724829515,110.243260816826,70.7324685632489,91.1531448708939,70.8999687678928,79.5656682326726,89.9951347869103,114.043176041484,91.0691844330245,73.4995236586876,97.5897778625599,210.003880484625,107.190997665529,71.4156176134134,140.300999689298,129.148885134301,89.9034695050903,100.097449682624,83.0154599693222,86.5708037731195,94.367339348441,93.9293049578462
114.20541694079,80.5217594044096,100.646657171517,98.112056321307,161.485902107456,73.8508192798442,134.37753055369,126.477032903582,120.208380072092,143.422696048096,112.224131710538,136.488178263065,68.0749444572606,75.4932782050939,153.493274199071,126.823998920485,101.268739980681,83.6049286207944,127.951526858072,76.6088014246317,77.032569670525,98.4949224711803,140.359068577752,89.3060163953739,119.698814783525,133.617760118872,109.870562866051,89.1113279138518,53.1887141779491,78.180349529431,60.0868654931443,93.5276468307566,157.525454820519,100.023169590232,99.8751144436559,89.0409054220409,70.4765521716817,121.059352397626,156.465103451122,81.1418703301041,169.529641394026,167.93466090626,52.3619361343041,91.8102084681573,117.824021888513,164.034828054697,163.051670137285,55.4662165570331,121.417146290247,93.8475661084477,46.0960931868251,200.270747668282,68.1178327492566,87.7035656355802,98.693092364233,99.5061824474609,155.653488700099,126.499445179202,106.455819117338,84.5052657372507,95.0886095061701,112.235757746724,190.150107576659,68.397131591644,79.5074784134858,291.766151035587,121.056174412451,71.5019805005351,106.873510259811,120.767855163838,77.9176574051237,131.927971780396,214.284901762361,304.922272963024,101.89178100818,131.850550136064,104.502527920494,118.872111363064,95.7616354538708,66.1828558127737,70.4548475130339,136.492700984329,103.364579683234,73.8944697127692,87.0648607199457,84.8104288380841,83.3709221492507,94.29918132768,109.706315094941,95.3802732124449,74.1601526748493,99.6047615917792,241.624236868002,113.231605258012,72.5396327035747,145.083918129711,112.463231998207,102.878392213488,104.912360780317,83.6616152677353,90.5027813560093,94.6755939745219,97.9956003617828
