"TG_BCPC","MERC_FUL","TG_FUL","BCPC_OI","CMP_KWR","KWR_CMP","HWKN_MATV","BCPC_AVD","HWKN_FUL","SCL_FUL","SCL_AVD","SCL_ATI","KWR_MTX","KWR_MYE","MTX_OI","MTX_MYE","MTX_CRS","ATI_MYE","BCPC_CMP","BCPC_SCL","ZEUS_OI","CENX_IOSP","ATI_OI","IOSP_HWKN","HWKN_IOSP","SCL_KWR","TG_CENX","FUL_ZEUS","TG_ATI","CMP_MERC","FUL_OI","CENX_ZEUS","ATI_SCL","MYE_IOSP","IOSP_MYE","MATV_MYE","SCL_TG","MTX_ATI","SCL_ZEUS","MTX_TG","CENX_TG","TG_MTX","FUL_MTRN","MYE_HWKN","IOSP_TG","BCPC_MERC","BCPC_FUL","BCPC_MTX","ZEUS_SCL","CMP_SCL","SCL_CMP","HWKN_KWR","KWR_HWKN","BCPC_ZEUS","BCPC_MATV","TG_CMP","TG_OI","ATI_IOSP","TG_SCL","AVD_CRS","AVD_ATI","ZEUS_MYE","MATV_HWKN","FUL_CMP","MERC_CRS","ZEUS_CMP","KWR_BCPC","BCPC_KWR","FUL_MYE","FUL_MTX","MTX_FUL","MTRN_CENX","CENX_MTX","CENX_MATV","MTX_CENX","OI_AVD","AVD_OI","SCL_IOSP","SCL_MTX","SCL_HWKN","SCL_MYE","OI_CENX","OI_FUL","AVD_CENX","CENX_AVD","OI_MTRN","TG_MATV","MTRN_OI","MTRN_CMP","MTX_AVD","CMP_CRS"
115.870586668986,82.8424679687579,98.9505989255008,96.7434709055152,109.812020897508,100.767547758062,113.237533938449,108.943871881891,93.2482509693957,88.1926593361389,98.2085126889336,112.899688639927,106.649794879675,95.7642100615613,101.766832426112,89.6127810230688,83.4622593826586,86.1245444910185,104.964708750206,112.169791689476,135.862040298192,118.811571844351,83.9732813517102,92.9822135357798,84.3692733564395,94.2026572708359,100.874903205645,127.847667453414,75.3214106042462,116.089078626609,96.8229552751179,91.662085390294,88.6026602608579,105.542750284652,86.9553079532056,83.364894324019,83.1596431190473,77.2783536247726,116.425201712076,105.002989207667,103.470551281824,94.2206479193437,118.56300238594,102.34101390848,105.310232486925,99.6614299620074,104.775930974282,99.1967348653437,116.425164334059,107.558329669955,93.4875635940467,95.3320508749873,103.261539107692,141.559294555936,89.4043230125822,88.8999601676516,111.984703172022,79.1470100966621,83.159608310232,132.341296390425,126.112589956351,118.499988830513,75.1785608126572,118.13146774374,89.5991077281199,115.834716835422,99.3695056055954,124.339303694856,113.465401148641,99.0950502710569,99.0950338685484,115.331994022529,115.512920021506,100.977162267939,87.3268997718836,100.476593613384,93.4345927970222,86.1258657503681,91.8533342806798,100.595412151112,97.9685974604426,104.542163186441,94.1134732801221,135.082867597654,119.199353089581,103.156936039786,126.249990476184,132.417194548308,103.906743814791,89.438756404095,107.702154628561
113.081213917521,82.2852207586431,98.9478579077064,91.2597799594462,112.540396452516,103.271216441329,115.70631483987,105.526651844161,95.0506140404908,87.8897466910936,97.1676863663202,115.941206624553,111.076983069709,96.8017653869608,102.746470051977,86.9591782381266,79.8969893893721,83.9545125049595,101.643573838154,109.767287849965,136.826068384582,123.121491430346,78.691039941286,89.9905265057804,86.6970502927957,95.5030465582596,95.9458157361644,136.263534008812,73.1018894139117,116.452182684059,93.5375621068712,89.7386013600837,86.1700088309982,105.836197685427,87.1970510736278,83.0265511487858,82.9312777358217,73.1547265646153,123.669704226307,102.274387976046,98.4146327363834,96.5438168612993,116.544675245291,99.5374679679758,111.034042776442,96.8912189749615,104.873846380305,94.5147091765079,123.669648584582,110.247603512061,92.4076289962768,98.9115497988595,99.3060754431878,147.197929046039,91.2763872885847,89.5725345867466,115.857409357993,77.4487703002012,82.9312316982735,135.610748028883,127.190399050525,121.085179042704,74.4937978388083,117.125692026209,87.5261232816752,107.383218358395,105.238143584507,121.339525237669,114.01076014575,96.7127377068811,96.7127394674588,117.155241793196,123.877413319636,96.3813039726607,81.1489210567561,97.5869735958252,90.7474936376747,86.5943628920965,89.3780505256624,98.1304512135571,98.1592281851188,96.1903948879803,90.9200247056369,142.155661143129,125.440471708751,101.302681563298,125.907506078247,131.550488017896,102.929684299092,87.7861330392618,104.712868757563
114.796189470734,87.41621479158,97.9517609434751,87.6591809043158,109.405375966743,99.4006919355992,120.170408051828,103.995282761602,103.473961368323,95.9008523538064,106.703397305708,100.451280767357,103.554202350136,95.624462421948,111.449379058695,85.7546098300287,87.5492155398923,70.4803682920585,101.63281903112,102.471499268433,124.595405558757,123.507327318264,66.6649174200437,79.8019597738015,97.1327166730993,100.110487083385,96.5678975400079,139.864660759375,83.0384094981759,118.697493371728,87.8467717311835,91.870812576488,70.9064548186994,116.734371861935,82.7718739690881,84.5238644476466,89.7626580678919,92.0913737793432,114.927866650955,96.9587406193882,92.5361665778581,89.9778764210745,113.77197546495,97.8659221010627,107.776698503941,93.0030078759692,107.107093147424,88.852981387473,108.007765457949,109.129329718332,96.4829323478188,101.420523925536,96.7324999370242,154.323165336875,94.8153307218628,91.7398403816284,110.763048991483,71.9551392488999,76.3569349530443,125.978713602604,110.571545919914,109.300227823527,71.5937913060453,117.078165335831,96.2596239117476,95.7768820172603,109.186418253563,120.948968554265,116.119413887117,88.9006963166049,88.9006889817828,114.607440434902,108.986523861794,87.1103142655911,70.8285881859332,96.0324925007351,88.371985038433,97.4090215683293,89.8630122771473,100.523730472716,105.470723034402,85.7773755902265,85.3884851812803,154.831616473869,119.699995986486,88.3761587825391,129.871327096128,114.680620492054,90.1922916166498,94.0138185144925,108.61298778086
117.538200015235,85.7619419468299,99.2529905144884,82.6434976430744,110.71800991034,100.593298240743,118.14966416242,111.873419296525,107.129866695561,103.016443757191,116.731225855136,102.132113948071,101.182294143668,98.6258317898416,116.992131432759,81.0919575847431,88.9398970301863,73.4424990840534,105.056693901819,105.286275212311,123.82326245309,129.36985397587,62.1536847513138,73.9076928628146,104.058770423146,106.85773876728,94.2168890869499,124.858050573884,78.0172007530771,125.760245994957,78.2481436430371,83.0545210643242,72.0929095117125,121.161243332263,79.2357653908816,90.3412859040696,93.6019993209105,93.0222279000385,124.684076325507,90.0805660724203,94.9494708655711,83.5949434039432,110.457396417053,94.5247309914373,105.147739710259,100.071202401131,102.923200793057,88.6440798315357,117.061306741995,111.479300172145,97.005395020392,101.366190018697,96.6057767834104,145.830654385069,95.2614941362529,88.2821421080871,97.2926364930498,77.8963573887585,73.0798707961514,138.061759887259,117.789124004944,121.148562687603,72.6022613420245,114.310160654117,87.551358578641,104.344789154036,106.75680444297,123.45511852551,115.571148702388,83.8129986933624,83.813019450867,130.635031947969,103.991058967579,83.6907467510284,67.5821116533414,93.9876675382383,77.2614421894608,103.725662986647,92.1158211956234,109.836959632355,116.745577862729,77.2949290833767,76.0584574884448,149.935501539963,123.282135852018,90.5760001073642,121.504414652842,117.53523617408,101.209214122746,87.0257657568166,119.334366352278
123.896847221264,95.516346536556,86.2506743537755,76.4724804711564,106.122182517085,96.4177202676709,112.760210342239,111.103264195033,119.173148380624,110.332517598812,119.960942620718,97.0974877505986,101.219758303221,94.6590093624133,108.49973188805,84.4224969395863,87.7513757137492,66.4982564219242,101.052857919773,106.547472258237,110.972904182347,124.223791496265,54.0606732087062,70.3941127635241,108.143553899992,104.885654355814,104.616180466394,118.323546061968,87.4213353519149,126.952575892448,66.5476085100283,81.2176267153857,68.5390714239201,130.331281462235,74.8355796147515,87.0696342789851,87.4618017234397,98.3025625517807,131.290825647991,95.4780595167711,85.2139150721126,88.6037985052489,104.03710434833,95.2520935808715,97.5195750415965,97.250626611274,94.3419936840881,89.0022506147511,114.703873930282,115.972373915208,95.0645397909498,104.425833444261,93.6070986658424,150.247923423138,88.5752927416959,89.6459090367282,95.039808102274,74.1767459054564,78.0481522662368,133.662598979665,109.849029119715,117.155477198204,75.8603565881281,100.928765408946,92.1052922131969,97.1656998360733,106.168270397105,123.820582605037,102.280865101259,77.3021828370267,77.3021828745448,127.067966276566,99.0122485945648,73.7141845302154,64.3464605406649,87.4553112362749,71.8916142548522,103.702883627804,91.310022569766,105.470883536309,108.563009135427,67.8307185611551,64.6853498634168,158.469799446074,116.028460953399,81.5858336002049,119.242907451709,105.86921261417,97.5511113070154,92.0081802642891,111.936565512611
123.483067887813,98.1117838918774,85.5841134262188,78.1588981161896,112.298869148206,102.029606963158,114.789251598815,114.794444776408,121.819459805684,107.313236827573,119.828962273085,93.728567938184,103.345274471075,102.703572340381,112.422852752484,81.5947196561108,99.6118797124527,65.3570965302112,107.681831098291,109.890302929887,110.232285779671,115.430554166079,51.7768823285032,69.864777684103,108.509927011193,97.8938767855196,115.863529544614,120.014760685203,92.7218258669165,121.585668213059,67.4781263080054,78.0285685104494,66.1609928344535,122.816215539572,79.123123743409,83.153990277795,84.700271125727,105.814803767521,126.596117222954,94.0112642014416,80.0435801721881,87.2426331768034,112.296958084421,89.3602113426229,98.3615422478829,95.310379856786,93.3803154192157,87.7779782617186,114.790400433519,118.715217231777,94.0130740767154,102.328878489827,95.3919561640703,153.461333413671,88.8003196698705,91.5215639146863,97.0247925803455,68.8850710515904,80.3685653985557,122.430105850529,106.503033499227,119.531034460274,89.840983035239,102.370135067918,105.384818217963,96.6893642612543,109.764427637111,125.643077613406,106.369361759121,75.6121537556058,75.6121415745429,132.509944804611,91.6612750344272,69.5274013109461,59.569181149793,86.340223895598,70.9749588650824,99.068468434542,87.0503546886289,100.415843487164,110.000012686882,65.0447933284548,65.5898339640476,162.056051048379,112.560740125252,76.0706250760809,119.281694660869,98.7124303130522,90.8672707025393,94.9987094910649,101.378847824091
131.533256930752,94.6525360320952,83.6959553524006,79.2550413370721,112.828030157491,101.666534005346,117.960430981848,107.137071977847,116.9657037163,104.117936948632,107.572439992473,95.4888250553748,111.447646740739,98.9489672324595,107.330023483689,86.9207479286997,95.9581817541114,63.7802369265013,115.39365506027,119.603061272196,102.614000476734,120.097515975577,51.4736440508698,70.8735168074945,106.485199936271,91.0547772054477,130.739992673803,128.887191041123,94.9055844439215,121.590884719775,67.6986818984919,85.4343874547499,67.4035410082761,127.183128483941,76.0940141261762,90.1918909407396,80.3771141773887,100.802757739765,131.945889251907,100.878930233839,79.61751544701,93.6158331133318,110.277864655139,94.213846020931,93.9385077573831,99.2746504719634,92.0688190491744,93.1209786352077,113.907241541231,119.533310619369,93.9501065364429,94.2273731680796,104.019918247161,166.48536249439,95.9837673110796,95.2179493258882,99.4423360002916,69.7688968380293,84.4381784941872,111.331782610017,97.6039188035655,109.237883685806,96.2038020057285,105.397364392279,103.154414737048,92.3532432048542,115.320691557549,129.772326534239,104.856691337172,79.4105463893903,79.4105448349431,140.314099124007,97.8422115488695,75.695490997459,63.5860707665547,91.8243460290297,75.4831265325031,98.2893610463188,88.767552136973,101.401787298771,105.246792181704,66.4012717687002,65.8042124712794,214.846208728333,105.542608885304,77.4663590837902,130.367617797963,100.523597378888,94.8857441361405,102.564132137353,102.485728342992
131.561252950187,90.4278103419015,92.1364785778742,75.1818837030435,119.108913542645,107.326071109784,108.039371440487,92.7867538505795,110.667132934825,97.9723671076253,96.2383660510834,91.7827831166534,101.343904118019,99.0981516526294,109.86684203162,78.6513709639054,86.9471412747129,63.1286853536385,132.130569002714,134.298990612298,98.3749488106841,133.070923571216,48.5274523061005,68.5230281533829,108.814231317084,93.8329954308627,154.39542237012,138.554563343883,93.7975181695585,122.382434083467,69.9061691937787,94.7181104451396,64.7875170869472,146.204517346839,76.1197666241236,79.8944485235367,83.9421130205639,111.794074060343,134.381456015546,89.7737739614912,90.2131013367842,83.3102176809763,115.673176647296,91.0531693427956,95.5556871666897,94.6006708698886,99.840949233032,83.9441467209275,126.211060765944,118.587230174622,91.6306977901495,97.5936591339717,101.230360814458,164.361363913391,84.7348572591387,95.9939685696561,93.1039111362745,68.5264862650161,80.6931951487499,98.8009573302758,84.1279078670037,109.860141063002,100.684806606981,108.170277958749,105.373915683496,88.130970632402,125.656333746295,129.415142819274,113.586628659288,78.029067922324,78.0290571237824,139.984973149348,98.7809046194926,74.8878280271629,64.1961348999193,100.050133405985,76.9763538241398,100.010834226945,82.6097687356383,100.828094757914,108.105443207904,70.6020853098293,67.9499194612275,221.71926851813,102.627572557254,76.1359471736079,113.6135479051,98.7972006696854,92.7683561473088,98.260539016451,98.9837443623569
139.092720181718,85.2920849274696,96.3455385385311,90.1435550973897,117.686490679891,115.357735017297,108.289689966128,97.8284725604859,105.95646063229,95.9885483911992,99.8909440317891,95.0884091105523,97.5854168052311,112.766567214674,113.865857746706,78.457822239103,91.6017909330356,71.2834516222812,157.733367962749,155.536006899955,96.6854692639708,113.722592995679,49.6693574251111,71.2898671254847,107.209737188459,97.8895353521333,153.676925902884,139.951193692987,106.684301910903,120.90946613594,71.2091639390099,84.1262477739231,67.1209077531831,158.9960404914,81.7751378316278,77.964610848292,85.9728985679747,114.898604243776,146.591813235213,88.18028880623,79.0562336239398,86.3595386702158,105.95893551288,100.946393766,105.404390049895,119.457903597423,122.842648740985,91.0651984475411,123.107485719409,120.206928682987,102.498933305684,97.7234808084109,114.173645837759,181.535666251586,98.4955228170569,105.339725221675,99.5515072600695,72.0218918325607,87.682403071674,103.222598875573,85.2877364921674,108.261841266424,99.7563869585401,102.014240806581,122.310277358587,91.0322517015665,163.229350350765,161.445167204325,108.933790045268,80.1963346716104,80.1963741240504,122.300219769296,103.944752181512,65.6194465205769,67.552028201099,96.9912813280136,79.1295449414485,108.777963959582,83.1889548122997,100.443463594721,116.116217870414,71.5823595346553,67.25245390037,231.638953104366,113.673603776698,67.6801962128282,124.169416138794,106.180224307449,103.948462784815,98.8339556758873,95.4070971751713
128.648823268926,81.9330350287746,92.5229467309606,86.6720521087347,115.566767949837,121.688911442634,112.742206140036,87.8228156077732,112.290566716236,94.5003716928539,101.70458602014,90.5284089429819,99.8209980749603,119.085639055427,115.115484786627,79.9372222348169,93.7557452597925,76.713298789425,147.996734892735,148.946738530453,87.4838277273095,113.114744972183,46.9824994966316,67.6879842083514,114.96481869519,97.2424632964682,160.002102200993,154.132963248758,102.244238635934,122.440034881547,69.7060141377316,100.280975455154,65.692733403801,161.263538778153,86.6164230506054,76.3725048412213,88.1384599874966,122.521346840208,150.523309625556,87.4590063908151,82.3100927622766,85.6531658482084,95.7639091830638,111.250886210898,139.616176135268,110.572480600027,120.975798589703,90.1286382870239,126.409203724493,118.775954796915,101.278727111733,108.644642840777,120.959471771276,192.228309201828,95.6804133473548,109.471933489279,117.760769861483,75.0911766942419,85.3728867540665,105.409110392238,90.6615049784669,112.030627148663,95.5751706613455,99.3946109613896,118.434411332227,84.8690659837487,162.692329783458,160.914007948444,107.503379870398,83.4250012364268,82.7554783977718,119.761384553632,98.37531654481,71.3908128245913,63.9325308694772,95.7823635349087,79.8898045975193,116.895901053934,84.6250346493845,102.42726592163,115.469055085219,66.9068863274565,68.5764562142201,218.656081942497,120.826695144568,62.3835307644158,129.586677797364,97.8705432798079,105.733637897928,98.7450620455242,93.6208268921192
