"symbol";"sector"
"HCSG";"Industrials"
"TDS";"Communication Services"
"AVTA";"Financials"
"KALU";"Materials"
"NBR";"Energy"
"MED";"Consumer Staples"
"AVID";"Information Technology"
"PMT";"Financials"
"SCHL";"Communication Services"
"CXW";"Industrials"
"DIN";"Consumer Discretionary"
"CLB";"Energy"
"STEL";"Financials"
"FBK";"Financials"
"RGR";"Consumer Discretionary"
"BKE";"Consumer Discretionary"
"CRK";"Energy"
"GRBK";"Consumer Discretionary"
"LMAT";"Health Care"
"FBRT";"Financials"
"BHLB";"Financials"
"MCRI";"Consumer Discretionary"
"RC";"Financials"
"AMSF";"Financials"
"PRA";"Financials"
"HRMY";"Health Care"
"NXRT";"Real Estate"
"SHEN";"Communication Services"
"DRQ";"Energy"
"VECO";"Information Technology"
"AZZ";"Industrials"
"MODV";"Health Care"
"GEO";"Industrials"
"VBTX";"Financials"
"RCUS";"Health Care"
"APOG";"Industrials"
"GBX";"Industrials"
"MBC";"Industrials"
"SBSI";"Financials"
"EGBN";"Financials"
"TALO";"Energy"
"SLCA";"Energy"
"TTGT";"Communication Services"
"ASTE";"Industrials"
"PLAB";"Information Technology"
"ATEN";"Information Technology"
"GDEN";"Consumer Discretionary"
"NXGN";"Health Care"
"AAT";"Real Estate"
"UTL";"Utilities"
"NYMT";"Financials"
"FDP";"Consumer Staples"
"BRKL";"Financials"
"GOGO";"Communication Services"
"NABL";"Information Technology"
"JBSS";"Consumer Staples"
"AHCO";"Health Care"
"SAH";"Consumer Discretionary"
"PRDO";"Consumer Discretionary"
"AXL";"Consumer Discretionary"
"SPTN";"Consumer Staples"
"ADEA";"Information Technology"
"AMWD";"Industrials"
"CHCT";"Real Estate"
"CSR";"Real Estate"
"CSII";"Health Care"
"VTLE";"Energy"
"ARR";"Financials"
"CFFN";"Financials"
"CVI";"Energy"
"MLAB";"Health Care"
"TR";"Consumer Staples"
"ROCC";"Energy"
"ICHR";"Information Technology"
"UNIT";"Real Estate"
"CCRN";"Health Care"
"HWKN";"Materials"
"PRLB";"Industrials"
"MCY";"Financials"
"AHH";"Real Estate"
"SPNT";"Financials"
"GDOT";"Financials"
"QURE";"Health Care"
"RPT";"Real Estate"
"SGH";"Information Technology"
"MMI";"Real Estate"
"BHE";"Information Technology"
"CAL";"Consumer Discretionary"
"COLL";"Health Care"
"EFC";"Financials"
"BSIG";"Financials"
"RWT";"Financials"
"TMP";"Financials"
"HIBB";"Consumer Discretionary"
"SCSC";"Information Technology"
"ENTA";"Health Care"
"MYE";"Materials"
"INN";"Real Estate"
"HTLD";"Industrials"
"SXC";"Materials"
"WT";"Financials"
"TMST";"Materials"
"HPP";"Real Estate"
"TGI";"Industrials"
"JRVR";"Financials"
"INVA";"Health Care"
"KOP";"Materials"
"LPG";"Energy"
"BDN";"Real Estate"
"VREX";"Health Care"
"USNA";"Consumer Staples"
"RGNX";"Health Care"
"CRSR";"Information Technology"
"TSE";"Materials"
"THRY";"Communication Services"
"GIII";"Consumer Discretionary"
"ADTN";"Information Technology"
"NX";"Industrials"
"AMBC";"Financials"
"MCW";"Consumer Discretionary"
"SLP";"Health Care"
"PUMP";"Energy"
"SMP";"Consumer Discretionary"
"CHS";"Consumer Discretionary"
"BLFS";"Health Care"
"TTEC";"Industrials"
"HFWA";"Financials"
"CCSI";"Information Technology"
"BJRI";"Consumer Discretionary"
"DCOM";"Financials"
"PFBC";"Financials"
"DLX";"Industrials"
"KREF";"Financials"
"HOUS";"Real Estate"
"CEVA";"Information Technology"
"HSTM";"Health Care"
"QNST";"Communication Services"
"BANC";"Financials"
"RES";"Energy"
"HAYN";"Materials"
"OSPN";"Information Technology"
"KAMN";"Industrials"
"CYH";"Health Care"
"HZO";"Consumer Discretionary"
"OFIX";"Health Care"
"ETD";"Consumer Discretionary"
"CHUY";"Consumer Discretionary"
"PBI";"Industrials"
"EHAB";"Health Care"
"SNCY";"Industrials"
"GES";"Consumer Discretionary"
"TBI";"Industrials"
"UHT";"Real Estate"
"UFCS";"Financials"
"FLGT";"Health Care"
"ARLO";"Information Technology"
"AVD";"Materials"
"CIR";"Industrials"
"AOSL";"Information Technology"
"SNBR";"Consumer Discretionary"
"HSII";"Industrials"
"KELYA";"Industrials"
"CLFD";"Information Technology"
"TRST";"Financials"
"TWI";"Industrials"
"CLW";"Materials"
"UVE";"Financials"
"HAFC";"Financials"
"HSC";"Industrials"
"AGTI";"Health Care"
"IIIN";"Industrials"
"CUBI";"Financials"
"AORT";"Health Care"
"CHRS";"Health Care"
"VTOL";"Energy"
"SSP";"Communication Services"
"CNXN";"Information Technology"
"OIS";"Energy"
"CLDT";"Real Estate"
"CVGW";"Consumer Staples"
"AMCX";"Communication Services"
"ZEUS";"Materials"
"NTGR";"Information Technology"
"CENX";"Materials"
"UBA";"Real Estate"
"OSUR";"Health Care"
"RUTH";"Consumer Discretionary"
"RGP";"Industrials"
"RILY";"Financials"
"EBS";"Health Care"
"EZPW";"Financials"
"CRMT";"Consumer Discretionary"
"BFS";"Real Estate"
"FARO";"Information Technology"
"ANIP";"Health Care"
"NFBK";"Financials"
"TILE";"Industrials"
"DBI";"Consumer Discretionary"
"CPF";"Financials"
"REX";"Energy"
"MCS";"Communication Services"
"HA";"Industrials"
"CUTR";"Health Care"
"GCO";"Consumer Discretionary"
"HVT";"Consumer Discretionary"
"XPER";"Information Technology"
"WSR";"Real Estate"
"EBIX";"Information Technology"
"ATNI";"Communication Services"
"CPSI";"Health Care"
"EGHT";"Information Technology"
"MOV";"Consumer Discretionary"
"SCVL";"Consumer Discretionary"
"DXPE";"Industrials"
"ANIK";"Health Care"
"PLCE";"Consumer Discretionary"
"VVI";"Industrials"
"CENT";"Consumer Staples"
"POWL";"Industrials"
"FORR";"Industrials"
"MERC";"Materials"
"IVR";"Financials"
"LPSN";"Information Technology"
"RYAM";"Materials"
"ONL";"Real Estate"
"BOOM";"Energy"
"VNDA";"Health Care"
"NPK";"Industrials"
"OPI";"Real Estate"
"ITOS";"Health Care"
"HCI";"Financials"
"RMAX";"Real Estate"
"ANGO";"Health Care"
"PAHC";"Health Care"
"HMST";"Financials"
"AAN";"Consumer Discretionary"
"PETS";"Consumer Discretionary"
"CMTL";"Information Technology"
"LQDT";"Industrials"
"BIG";"Consumer Discretionary"
"INGN";"Health Care"
"EGRX";"Health Care"
"ZUMZ";"Consumer Discretionary"
"WRLD";"Financials"
"CNSL";"Communication Services"
"GCI";"Communication Services"
"SENEA";"Consumer Staples"
"TREE";"Financials"
"ZYXI";"Health Care"
"TG";"Materials"
"DOUG";"Real Estate"
"FF";"Materials"
"CARA";"Health Care"
"LOCO";"Consumer Discretionary"
