"symbol";"sector"
"KTB";"Consumer Discretionary"
"VIAV";"Information Technology"
"MXL";"Information Technology"
"FORM";"Information Technology"
"GMS";"Industrials"
"CPK";"Utilities"
"AEO";"Consumer Discretionary"
"WSFS";"Financials"
"JJSF";"Consumer Staples"
"LGIH";"Consumer Discretionary"
"FTDR";"Consumer Discretionary"
"ARCB";"Industrials"
"ABCB";"Financials"
"WD";"Financials"
"NUVA";"Health Care"
"FCPT";"Real Estate"
"EPC";"Consumer Staples"
"RXO";"Industrials"
"MDC";"Consumer Discretionary"
"CRS";"Materials"
"BLMN";"Consumer Discretionary"
"SITC";"Real Estate"
"SFNC";"Financials"
"PPBI";"Financials"
"LUMN";"Communication Services"
"EVTC";"Financials"
"BOOT";"Consumer Discretionary"
"YELP";"Communication Services"
"KMT";"Industrials"
"SJW";"Utilities"
"CALM";"Consumer Staples"
"SCL";"Materials"
"CVBF";"Financials"
"STRA";"Consumer Discretionary"
"FBP";"Financials"
"B";"Industrials"
"MYRG";"Industrials"
"SHAK";"Consumer Discretionary"
"NPO";"Industrials"
"SHO";"Real Estate"
"CORT";"Health Care"
"IIPR";"Real Estate"
"NUS";"Consumer Staples"
"SKT";"Real Estate"
"HCC";"Materials"
"IDCC";"Information Technology"
"SUPN";"Health Care"
"AX";"Financials"
"CEIX";"Energy"
"CTRE";"Real Estate"
"FFBC";"Financials"
"GPRE";"Energy"
"NTCT";"Information Technology"
"TRN";"Industrials"
"NEO";"Health Care"
"SIX";"Consumer Discretionary"
"MTX";"Materials"
"WAFD";"Financials"
"PCRX";"Health Care"
"CPE";"Energy"
"PSMT";"Consumer Staples"
"NMIH";"Financials"
"SBCF";"Financials"
"KW";"Real Estate"
"THRM";"Consumer Discretionary"
"PEB";"Real Estate"
"VIR";"Health Care"
"PIPR";"Financials"
"MYGN";"Health Care"
"ATGE";"Consumer Discretionary"
"ALG";"Industrials"
"OII";"Energy"
"SNEX";"Financials"
"ADUS";"Health Care"
"CRVL";"Health Care"
"JACK";"Consumer Discretionary"
"BANR";"Financials"
"AIR";"Industrials"
"SSTK";"Communication Services"
"ODP";"Consumer Discretionary"
"CNK";"Communication Services"
"WGO";"Consumer Discretionary"
"CCS";"Consumer Discretionary"
"XNCR";"Health Care"
"COHU";"Information Technology"
"HLIT";"Information Technology"
"CPRX";"Health Care"
"HBI";"Consumer Discretionary"
"GVA";"Industrials"
"DRH";"Real Estate"
"UE";"Real Estate"
"VGR";"Consumer Staples"
"MHO";"Consumer Discretionary"
"VRTV";"Industrials"
"NWN";"Utilities"
"CSGS";"Industrials"
"AGYS";"Information Technology"
"RNST";"Financials"
"EMBC";"Health Care"
"ROIC";"Real Estate"
"HAIN";"Consumer Staples"
"EAT";"Consumer Discretionary"
"PRK";"Financials"
"EYE";"Consumer Discretionary"
"OSIS";"Information Technology"
"BKU";"Financials"
"INT";"Energy"
"LESL";"Consumer Discretionary"
"SVC";"Real Estate"
"URBN";"Consumer Discretionary"
"LRN";"Consumer Discretionary"
"AMPH";"Health Care"
"UNFI";"Consumer Staples"
"CWK";"Real Estate"
"AMEH";"Health Care"
"CAKE";"Consumer Discretionary"
"CENTA";"Consumer Staples"
"ELME";"Real Estate"
"IBTX";"Financials"
"TBBK";"Financials"
"MEI";"Information Technology"
"PGTI";"Industrials"
"PRAA";"Financials"
"KN";"Information Technology"
"SBH";"Consumer Discretionary"
"SLG";"Real Estate"
"ALGT";"Industrials"
"VSTO";"Consumer Discretionary"
"MGPI";"Consumer Staples"
"OXM";"Consumer Discretionary"
"TRUP";"Financials"
"MNRO";"Consumer Discretionary"
"LKFN";"Financials"
"IRWD";"Health Care"
"PATK";"Consumer Discretionary"
"ROCK";"Industrials"
"RAMP";"Information Technology"
"NWBI";"Financials"
"PARR";"Energy"
"KAR";"Industrials"
"VCEL";"Health Care"
"PLAY";"Consumer Discretionary"
"TRMK";"Financials"
"GTY";"Real Estate"
"XHR";"Real Estate"
"GFF";"Industrials"
"SLVM";"Materials"
"CTS";"Information Technology"
"SXI";"Industrials"
"NBTB";"Financials"
"BANF";"Financials"
"LNN";"Industrials"
"SMTC";"Information Technology"
"ENVA";"Financials"
"MSEX";"Utilities"
"UCTT";"Information Technology"
"AVNS";"Health Care"
"JOE";"Real Estate"
"MLKN";"Industrials"
"LTC";"Real Estate"
"FBNC";"Financials"
"PFS";"Financials"
"XPEL";"Consumer Discretionary"
"JBGS";"Real Estate"
"PLMR";"Financials"
"BFH";"Financials"
"EPAC";"Industrials"
"ALEX";"Real Estate"
"MDRX";"Health Care"
"SABR";"Consumer Discretionary"
"CHCO";"Financials"
"HMN";"Financials"
"PLUS";"Information Technology"
"AROC";"Energy"
"USPH";"Health Care"
"NEX";"Energy"
"TWO";"Financials"
"DVAX";"Health Care"
"RDNT";"Health Care"
"WWW";"Consumer Discretionary"
"UVV";"Consumer Staples"
"CDMO";"Health Care"
"HTH";"Financials"
"TTMI";"Information Technology"
"ANDE";"Consumer Staples"
"TFIN";"Financials"
"DEA";"Real Estate"
"DDD";"Industrials"
"AKR";"Real Estate"
"ANF";"Consumer Discretionary"
"TNC";"Industrials"
"NVEE";"Industrials"
"VRE";"Real Estate"
"VRTS";"Financials"
"ECPG";"Financials"
"NBHC";"Financials"
"CARS";"Communication Services"
"FCF";"Financials"
"PRG";"Financials"
"PDFS";"Information Technology"
"LGND";"Health Care"
"GNL";"Real Estate"
"DGII";"Information Technology"
"PACW";"Financials"
"LZB";"Consumer Discretionary"
"MD";"Health Care"
"SKYW";"Industrials"
"ARI";"Financials"
"DNOW";"Industrials"
"UPBD";"Consumer Discretionary"
"HSKA";"Health Care"
"MRTN";"Industrials"
"MATV";"Materials"
"FIZZ";"Consumer Staples"
"STBA";"Financials"
"PAYO";"Financials"
"CASH";"Financials"
"EIG";"Financials"
"HOPE";"Financials"
"OFG";"Financials"
"MATW";"Industrials"
"IRBT";"Consumer Discretionary"
"APPS";"Information Technology"
"BGS";"Consumer Staples"
"STC";"Financials"
"CHEF";"Consumer Staples"
"SAFT";"Financials"
"OMI";"Health Care"
"WABC";"Financials"
"ASIX";"Materials"
"NBR";"Energy"
"HLX";"Energy"
"CRNC";"Information Technology"
"TDS";"Communication Services"
"CXW";"Industrials"
"CMP";"Materials"
"AVID";"Information Technology"
"HCSG";"Industrials"
"SAFE";"Real Estate"
"AVTA";"Financials"
"DFIN";"Financials"
"HNI";"Industrials"
"FBK";"Financials"
"MED";"Consumer Staples"
"KALU";"Materials"
"CLB";"Energy"
"DIN";"Consumer Discretionary"
"WNC";"Industrials"
"PMT";"Financials"
"STEL";"Financials"
"SCHL";"Communication Services"
"BHLB";"Financials"
"RGR";"Consumer Discretionary"
"MODV";"Health Care"
"LMAT";"Health Care"
"FBRT";"Financials"
"SHEN";"Communication Services"
"GEO";"Industrials"
"MCRI";"Consumer Discretionary"
"VECO";"Information Technology"
"GBX";"Industrials"
"VBTX";"Financials"
"RC";"Financials"
"CRK";"Energy"
"EGBN";"Financials"
"BKE";"Consumer Discretionary"
"AMSF";"Financials"
"PRA";"Financials"
"MBC";"Industrials"
"SBSI";"Financials"
"AZZ";"Industrials"
"DRQ";"Energy"
"NXRT";"Real Estate"
"TTGT";"Communication Services"
"ATEN";"Information Technology"
"TALO";"Energy"
"RCUS";"Health Care"
"PLAB";"Information Technology"
"GRBK";"Consumer Discretionary"
"SLCA";"Energy"
"HRMY";"Health Care"
"UTL";"Utilities"
"NYMT";"Financials"
"APOG";"Industrials"
"AHCO";"Health Care"
"NXGN";"Health Care"
"ASTE";"Industrials"
"AAT";"Real Estate"
"GDEN";"Consumer Discretionary"
"FDP";"Consumer Staples"
"GOGO";"Communication Services"
"BRKL";"Financials"
"PRDO";"Consumer Discretionary"
"NABL";"Information Technology"
"JBSS";"Consumer Staples"
"VTLE";"Energy"
"SAH";"Consumer Discretionary"
"CVI";"Energy"
"SPTN";"Consumer Staples"
"CHCT";"Real Estate"
"CFFN";"Financials"
"AXL";"Consumer Discretionary"
"ARR";"Financials"
"MLAB";"Health Care"
"ICHR";"Information Technology"
"AMWD";"Industrials"
"ADEA";"Information Technology"
"PRLB";"Industrials"
"CSII";"Health Care"
"CSR";"Real Estate"
"ROCC";"Energy"
"CCRN";"Health Care"
"HWKN";"Materials"
"TR";"Consumer Staples"
"MCY";"Financials"
"BHE";"Information Technology"
"QURE";"Health Care"
"SGH";"Information Technology"
"SPNT";"Financials"
"AHH";"Real Estate"
"MMI";"Real Estate"
"GDOT";"Financials"
"UNIT";"Real Estate"
"TMP";"Financials"
"RPT";"Real Estate"
"HIBB";"Consumer Discretionary"
"EFC";"Financials"
"CAL";"Consumer Discretionary"
"COLL";"Health Care"
"INVA";"Health Care"
"HPP";"Real Estate"
"ADTN";"Information Technology"
"RWT";"Financials"
"SCSC";"Information Technology"
"BSIG";"Financials"
"MYE";"Materials"
"TSE";"Materials"
"PUMP";"Energy"
"TGI";"Industrials"
"ENTA";"Health Care"
"JRVR";"Financials"
"BLFS";"Health Care"
"SXC";"Materials"
"RGNX";"Health Care"
"QNST";"Communication Services"
"SLP";"Health Care"
"KOP";"Materials"
"HTLD";"Industrials"
"TMST";"Materials"
"INN";"Real Estate"
"VREX";"Health Care"
"USNA";"Consumer Staples"
"TTEC";"Industrials"
"CRSR";"Information Technology"
"BDN";"Real Estate"
"THRY";"Communication Services"
"WT";"Financials"
"HFWA";"Financials"
"DCOM";"Financials"
"MCW";"Consumer Discretionary"
"CCSI";"Information Technology"
"SMP";"Consumer Discretionary"
"NX";"Industrials"
"GIII";"Consumer Discretionary"
"DLX";"Industrials"
"PFBC";"Financials"
"AMBC";"Financials"
"LPG";"Energy"
"EHAB";"Health Care"
"BANC";"Financials"
"HSTM";"Health Care"
"CYH";"Health Care"
"CEVA";"Information Technology"
"OSPN";"Information Technology"
"KREF";"Financials"
"CHS";"Consumer Discretionary"
"BJRI";"Consumer Discretionary"
"RES";"Energy"
"HOUS";"Real Estate"
"KAMN";"Industrials"
"OFIX";"Health Care"
"CHUY";"Consumer Discretionary"
"SNCY";"Industrials"
"FLGT";"Health Care"
"HAYN";"Materials"
"HZO";"Consumer Discretionary"
"ETD";"Consumer Discretionary"
"PBI";"Industrials"
"UFCS";"Financials"
"AVD";"Materials"
"TBI";"Industrials"
"CIR";"Industrials"
"UHT";"Real Estate"
"ARLO";"Information Technology"
"GES";"Consumer Discretionary"
"CLFD";"Information Technology"
"TRST";"Financials"
"SNBR";"Consumer Discretionary"
"KELYA";"Industrials"
"HSII";"Industrials"
"AOSL";"Information Technology"
"EBS";"Health Care"
"HAFC";"Financials"
"CLW";"Materials"
"CUBI";"Financials"
"AORT";"Health Care"
"HSC";"Industrials"
"AGTI";"Health Care"
"IIIN";"Industrials"
"VTOL";"Energy"
"NTGR";"Information Technology"
"SSP";"Communication Services"
"TWI";"Industrials"
"OIS";"Energy"
"CNXN";"Information Technology"
"CHRS";"Health Care"
"CVGW";"Consumer Staples"
"UVE";"Financials"
"AMCX";"Communication Services"
"OSUR";"Health Care"
"CLDT";"Real Estate"
"RGP";"Industrials"
"ZEUS";"Materials"
"UBA";"Real Estate"
"RUTH";"Consumer Discretionary"
"BFS";"Real Estate"
"CENX";"Materials"
"CRMT";"Consumer Discretionary"
"FARO";"Information Technology"
"EZPW";"Financials"
"ANIP";"Health Care"
"NFBK";"Financials"
"CPF";"Financials"
"EGHT";"Information Technology"
"TILE";"Industrials"
"HA";"Industrials"
"MCS";"Communication Services"
"REX";"Energy"
"RILY";"Financials"
"CPSI";"Health Care"
"DBI";"Consumer Discretionary"
"SCVL";"Consumer Discretionary"
"EBIX";"Information Technology"
"ATNI";"Communication Services"
"DXPE";"Industrials"
"HVT";"Consumer Discretionary"
"GCO";"Consumer Discretionary"
"XPER";"Information Technology"
"WSR";"Real Estate"
"MOV";"Consumer Discretionary"
"VNDA";"Health Care"
"CENT";"Consumer Staples"
"ANIK";"Health Care"
"OPI";"Real Estate"
"FORR";"Industrials"
"POWL";"Industrials"
"VVI";"Industrials"
"MERC";"Materials"
"CUTR";"Health Care"
"PLCE";"Consumer Discretionary"
"IVR";"Financials"
"RYAM";"Materials"
"BOOM";"Energy"
"ANGO";"Health Care"
"ONL";"Real Estate"
"NPK";"Industrials"
"HCI";"Financials"
"LPSN";"Information Technology"
"ITOS";"Health Care"
"RMAX";"Real Estate"
"HMST";"Financials"
"AAN";"Consumer Discretionary"
"PAHC";"Health Care"
"BIG";"Consumer Discretionary"
"PETS";"Consumer Discretionary"
"EGRX";"Health Care"
"CMTL";"Information Technology"
"INGN";"Health Care"
"LQDT";"Industrials"
"ZUMZ";"Consumer Discretionary"
"CNSL";"Communication Services"
"GCI";"Communication Services"
"WRLD";"Financials"
"SENEA";"Consumer Staples"
"TREE";"Financials"
"ZYXI";"Health Care"
"TG";"Materials"
"DOUG";"Real Estate"
"FF";"Materials"
"CARA";"Health Care"
"LOCO";"Consumer Discretionary"
"STHO";"Real Estate"
